il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bağcılar,BARBAROS,Barbaros Hayrettin Paşa Parkı,28.84088,41.0247
İSTANBUL,Bağcılar,BARBAROS,Küçük Barbaros Parkı,28.84074,41.02685
İSTANBUL,Bağcılar,BARBAROS,Barbaros ASM Parkı,28.83679,41.02843
İSTANBUL,Bağcılar,BARBAROS,Sağlık Parkı,28.83719,41.02992
İSTANBUL,Bağcılar,BARBAROS,Abdurrahman ve Nermin Bilimli Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.83995,41.02427
İSTANBUL,Bağcılar,BARBAROS,Bağcılar Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.83875,41.02553
İSTANBUL,Bağcılar,BARBAROS,Hızır Reis Kız Anadolu İmam Hatip Lisesi Bahçesi,28.84172,41.02537
İSTANBUL,Bağcılar,BARBAROS,Kazım Karabekir Ortaokulu Bahçesi,28.84041,41.02362
İSTANBUL,Bağcılar,BARBAROS,Vali Cahit Bayar İlkokulu Bahçesi,28.84001,41.02742
İSTANBUL,Bağcılar,BARBAROS,211 Sokak Park Alanı,28.84219,41.0242
İSTANBUL,Bağcılar,BARBAROS,Bağcılar Mesleki ve Teknik Anadolu Lisesi Yanı,28.83803,41.02665
İSTANBUL,Bağcılar,BARBAROS,Barbaros Beyoğlu  ada 24-25 parsel Akaryakıt Alanı,28.83523,41.03052
