il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bağcılar,BAĞLAR,Gönül Yuvam Parkı,28.82303,41.0253
İSTANBUL,Bağcılar,BAĞLAR,Halı Saha,28.82354,41.02412
İSTANBUL,Bağcılar,BAĞLAR,Karacaoğlan Parkı,28.82746,41.02515
İSTANBUL,Bağcılar,BAĞLAR,Plevne Cami Parkı,28.82038,41.02982
İSTANBUL,Bağcılar,BAĞLAR,Bağlar Yürüyüş ve Bisiklet Yolu Parkı,28.82808,41.02918
İSTANBUL,Bağcılar,BAĞLAR,Anafartalar İlkokulu Bahçesi,28.82397,41.02678
İSTANBUL,Bağcılar,BAĞLAR,Bağcılar Anadolu İmam Hatip Lisesi Bahçesi,28.82122,41.02371
İSTANBUL,Bağcılar,BAĞLAR,Dr. Sadık Ahmet Ortaokulu Bahçesi,28.82592,41.02871
İSTANBUL,Bağcılar,BAĞLAR,Güneşli Ortaokulu Bahçesi,28.82485,41.03128
İSTANBUL,Bağcılar,BAĞLAR,Hayriye Kayraklı Ortaokulu Bahçesi,28.82724,41.02336
İSTANBUL,Bağcılar,BAĞLAR,Hikmet Nazif Kurşunoğlu Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.82565,41.03126
İSTANBUL,Bağcılar,BAĞLAR,Prof. Dr. Necmettin Erbakan Fen Lisesi Bahçesi,28.82748,41.0243
