il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bağcılar,DEMİRKAPI,Ensar Parkı,28.83439,41.05
İSTANBUL,Bağcılar,DEMİRKAPI,Uçan Evler Parkı,28.83758,41.04884
İSTANBUL,Bağcılar,DEMİRKAPI,Akşemsettin Parkı,28.84056,41.04813
İSTANBUL,Bağcılar,DEMİRKAPI,Hızır Reis Parkı,28.8446,41.04679
İSTANBUL,Bağcılar,DEMİRKAPI,Ceviz Bahçesi,28.84374,41.04698
İSTANBUL,Bağcılar,DEMİRKAPI,Velioğlu Parkı,28.84267,41.04968
İSTANBUL,Bağcılar,DEMİRKAPI,1646. Sokak Parkı,28.83157,41.05121
İSTANBUL,Bağcılar,DEMİRKAPI,Demirkapı Yüzme Havuzu Parkı,28.83493,41.05322
İSTANBUL,Bağcılar,DEMİRKAPI,Akşemsettin Lisesi Bahçesi,28.83809,41.04799
İSTANBUL,Bağcılar,DEMİRKAPI,Cahit Zarifoğlu Anaokulu Bahçesi,28.83958,41.05142
İSTANBUL,Bağcılar,DEMİRKAPI,Dr. Cemil-Fevziye Özkaya Ortaokulu Bahçesi,28.84652,41.04316
İSTANBUL,Bağcılar,DEMİRKAPI,Evliya Çelebi İlkokulu Bahçesi,28.84583,41.04357
İSTANBUL,Bağcılar,DEMİRKAPI,Hasan Kağnici İlkokulu Bahçesi,28.83936,41.05175
İSTANBUL,Bağcılar,DEMİRKAPI,Hayrettin Karaaman Kız Anadolu İ.H.L. Bahçesi,28.83395,41.05059
İSTANBUL,Bağcılar,DEMİRKAPI,Karacaoğlan İlkokulu Bahçesi,28.83404,41.05251
İSTANBUL,Bağcılar,DEMİRKAPI,Malazgirt Ortaokulu Bahçesi,28.83855,41.05259
İSTANBUL,Bağcılar,DEMİRKAPI,Milli Eğitim Vakfı Uçanevler Ortaokulu Bahçesi,28.8368,41.0484
İSTANBUL,Bağcılar,DEMİRKAPI,Nasrettin Hoca Anaokulu Bahçesi,28.83631,41.05308
İSTANBUL,Bağcılar,DEMİRKAPI,Necip Fazıl Kısakürek Ortaokulu Bahçesi,28.83586,41.05309
İSTANBUL,Bağcılar,DEMİRKAPI,Piri Reis Ortaokulu Bahçesi,28.83874,41.0522
İSTANBUL,Bağcılar,DEMİRKAPI,Ragıp Akın İlkokulu Bahçesi,28.83621,41.05257
İSTANBUL,Bağcılar,DEMİRKAPI,Sebahattin Zaim İmam Hatip Ortaokulu Bahçesi,28.83891,41.05142
İSTANBUL,Bağcılar,DEMİRKAPI,Selahattin Eyyubi Anadolu İmam Hatip Lisesi Bahçesi,28.8435,41.0481
İSTANBUL,Bağcılar,DEMİRKAPI,Yavuz Sutan Selim Çok Programlı Anadolu Lisesi Bahçesi,28.83857,41.04804
