il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bağcılar,FEVZİ ÇAKMAK,Osman Gazi Parkı,28.85667,41.05332
İSTANBUL,Bağcılar,FEVZİ ÇAKMAK,Veysel Karani Parkı,28.85611,41.05174
İSTANBUL,Bağcılar,FEVZİ ÇAKMAK,Hacı Bektaş-ı Veli Parkı,28.85133,41.04582
İSTANBUL,Bağcılar,FEVZİ ÇAKMAK,Şişecam Blokları Çocuk Parkı,28.85266,41.0452
İSTANBUL,Bağcılar,FEVZİ ÇAKMAK,Mareşal Fevzi Çakmak Parkı,28.85776,41.04299
İSTANBUL,Bağcılar,FEVZİ ÇAKMAK,Tabya Meydan Cami,28.86068,41.04052
İSTANBUL,Bağcılar,FEVZİ ÇAKMAK,Veysel Karani Cami Yanı Parkı,28.85518,41.05087
İSTANBUL,Bağcılar,FEVZİ ÇAKMAK,Abdullah Bin Mektum Özel Eğitim Uygulama Okulu II. Kademe Bahçesi,28.85696,41.0527
İSTANBUL,Bağcılar,FEVZİ ÇAKMAK,Alaattin-Nilüfer Kadayıfcıoğlu Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.85569,41.0481
İSTANBUL,Bağcılar,FEVZİ ÇAKMAK,Bağcılar Olimpiyat Parkı ve Azerbaycan Dostluk Parkı,28.85498,41.04367
İSTANBUL,Bağcılar,FEVZİ ÇAKMAK,Dağyolu Parkı,28.85981,41.04238
İSTANBUL,Bağcılar,FEVZİ ÇAKMAK,Münir Nurettin Selçuk Ortaokulu Bahçesi,28.8513,41.04524
İSTANBUL,Bağcılar,FEVZİ ÇAKMAK,Nene Hatun İlkokulu Bahçesi,28.85267,41.04618
İSTANBUL,Bağcılar,FEVZİ ÇAKMAK,Orhangazi Anadolu İmam Hatip Lisesi Bahçesi,28.85519,41.04311
İSTANBUL,Bağcılar,FEVZİ ÇAKMAK,Yunus Emre Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.85505,41.04273
İSTANBUL,Bağcılar,FEVZİ ÇAKMAK,Osmangazi Anadolu Lisesi Bahçesi,28.85062,41.04511
İSTANBUL,Bağcılar,FEVZİ ÇAKMAK,Tiryaki Hasanpaşa İlkokulu Bahçesi,28.85896,41.04706
İSTANBUL,Bağcılar,FEVZİ ÇAKMAK,Zübeyde Hanım Anaokulu Bahçesi,28.85658,41.05255
