il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bağcılar,GÖZTEPE,Aşık Şenlik Parkı,28.83665,41.06109
İSTANBUL,Bağcılar,GÖZTEPE,Şeyh Şamil Parkı,28.83474,41.05685
İSTANBUL,Bağcılar,GÖZTEPE,Mehmet Bulur Parkı,28.84171,41.05806
İSTANBUL,Bağcılar,GÖZTEPE,Göztepe ASM Parkı,28.83652,41.05921
İSTANBUL,Bağcılar,GÖZTEPE,2313.Sokak Parkı,28.84468,41.05683
İSTANBUL,Bağcılar,GÖZTEPE,2331. Sokak Parkı,28.83998,41.05657
İSTANBUL,Bağcılar,GÖZTEPE,2356 Sokak Parkı,28.83215,41.05483
İSTANBUL,Bağcılar,GÖZTEPE,Aşık Şenlik Ortaokulu Bahçesi,28.83811,41.05752
İSTANBUL,Bağcılar,GÖZTEPE,Füruzan Sadıkoğlu Ortaokulu Bahçesi,28.83447,41.05945
İSTANBUL,Bağcılar,GÖZTEPE,Mahmutbey Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.83711,41.06145
İSTANBUL,Bağcılar,GÖZTEPE,İstoç Kavşağı Piknik Alanı Bahçesi,28.83642,41.06731
İSTANBUL,Bağcılar,GÖZTEPE,İstoç İlkokulu Bahçesi,28.83674,41.06218
İSTANBUL,Bağcılar,GÖZTEPE,Şehit Ramazan Sarıkaya Anadolu İmam Hatip Lisesi Bahçesi,28.84029,41.05597
