il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bağcılar,GÜNEŞLİ,Aliye İzzetbegoviç Parkı,28.82434,41.03332
İSTANBUL,Bağcılar,GÜNEŞLİ,1338. Sokak Parkı (Yalçın Sokak),28.82481,41.03455
İSTANBUL,Bağcılar,GÜNEŞLİ,Hafize Nafiz Hançer Parkı,28.82958,41.03414
İSTANBUL,Bağcılar,GÜNEŞLİ,Güneşli Parkı,28.83282,41.03616
İSTANBUL,Bağcılar,GÜNEŞLİ,Koca Yusuf Parkı,28.83188,41.04014
İSTANBUL,Bağcılar,GÜNEŞLİ,Kayısı Bahçesi Yeşil Alan,28.8275,41.04228
İSTANBUL,Bağcılar,GÜNEŞLİ,Kulüpler Birliği Parkı ve Spor Tesisi,28.82323,41.03523
İSTANBUL,Bağcılar,GÜNEŞLİ,Türk Hava Yolları Parkı,28.82382,41.03587
İSTANBUL,Bağcılar,GÜNEŞLİ,Kocayusuf Spor Tesisileri ve Bilgi Evi Sera Parkı,28.83077,41.0407
İSTANBUL,Bağcılar,GÜNEŞLİ,Güneşli Mahalle Konağı Parkı,28.83258,41.03464
İSTANBUL,Bağcılar,GÜNEŞLİ,Bağcılar Borsa İstanbul Ortaokulu Bahçesi,28.82608,41.0401
İSTANBUL,Bağcılar,GÜNEŞLİ,Bağcılar Lokman Hekim Özel Eğitim Uygulama Okulu I. Kademe,28.83155,41.03279
İSTANBUL,Bağcılar,GÜNEŞLİ,Kadir Kuş İmam Hatip Ortaokulu Bahçesi,28.83138,41.03964
İSTANBUL,Bağcılar,GÜNEŞLİ,Koca Yusuf İlkokulu Bahçesi,28.83028,41.04153
İSTANBUL,Bağcılar,GÜNEŞLİ,Kurtdereli Mehmet Ortaokulu Bahçesi,28.8273,41.04054
İSTANBUL,Bağcılar,GÜNEŞLİ,Mehmet Niyazi Altuğ Anadolu Lisesi Bahçesi,28.82859,41.03551
İSTANBUL,Bağcılar,GÜNEŞLİ,Gaziosmanpaşa Ortaokulu Bahçesi,28.83252,41.03178
