il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bağcılar,HÜRRİYET,Plevne Parkı,28.83131,41.02258
İSTANBUL,Bağcılar,HÜRRİYET,Gazi Osmanpaşa Parkı,28.82988,41.02745
İSTANBUL,Bağcılar,HÜRRİYET,Güneşli Meydan Parkı,28.82857,41.03098
İSTANBUL,Bağcılar,HÜRRİYET,123. Sokak Parkı,28.83613,41.02481
İSTANBUL,Bağcılar,HÜRRİYET,Şencan Filibe  Sokak Parkı Yanı Otopark,28.83433,41.02709
İSTANBUL,Bağcılar,HÜRRİYET,Bağcılar Edip İplik Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.83251,41.02991
İSTANBUL,Bağcılar,HÜRRİYET,Bağcılar Gazi Anadolu Lisesi Bahçesi,28.83277,41.02309
İSTANBUL,Bağcılar,HÜRRİYET,Hürriyet Katlı Otoparkı Bahçesi,28.83274,41.02939
İSTANBUL,Bağcılar,HÜRRİYET,Menderes Caddesi Sosyal Kültürel Tesis Alanı,28.8301,41.02432
İSTANBUL,Bağcılar,HÜRRİYET,Nevin - Mehmet Bilginer İlkokulu Bahçesi,28.83371,41.02317
