il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bağcılar,KAZIM KARABEKİR,Kazım Karabekir Cami Yanı Parkı,28.84496,41.02615
İSTANBUL,Bağcılar,KAZIM KARABEKİR,Ercan Kılınçkaya Parkı,28.84489,41.02864
İSTANBUL,Bağcılar,KAZIM KARABEKİR,Kazım Karabekir Sağlık Ocağı Parkı,28.84577,41.02798
İSTANBUL,Bağcılar,KAZIM KARABEKİR,313. Sokak Parkı,28.84515,41.03071
İSTANBUL,Bağcılar,KAZIM KARABEKİR,Kazım Karabekir Yüzme Havuzu Parkı,28.84381,41.02903
İSTANBUL,Bağcılar,KAZIM KARABEKİR,Hoca Ahmet Yesevi Cami Parkı,28.8403,41.03029
İSTANBUL,Bağcılar,KAZIM KARABEKİR,294.Sokak Parkı,28.84291,41.03062
İSTANBUL,Bağcılar,KAZIM KARABEKİR,264.Sokak Parkı,28.8437,41.02546
İSTANBUL,Bağcılar,KAZIM KARABEKİR,Aşkaleli İbrahim Polat Ortaokulu Bahçesi,28.84422,41.02955
İSTANBUL,Bağcılar,KAZIM KARABEKİR,Barbaros Anadolu Lisesi Bahçesi,28.84165,41.02661
İSTANBUL,Bağcılar,KAZIM KARABEKİR,Gaspıralı İsmail İlkokulu Bahçesi,28.84226,41.02673
İSTANBUL,Bağcılar,KAZIM KARABEKİR,Mevlana Anaokulu Bahçesi,28.84338,41.02805
İSTANBUL,Bağcılar,KAZIM KARABEKİR,320 Sokak Kazım Karabekir İlköğretim Tesis Alanı,28.8462,41.03107
İSTANBUL,Bağcılar,KAZIM KARABEKİR,338 Sokak ile Mehmet Akif Bulvarı Kesişimi Park Alanı,28.84643,41.02764
İSTANBUL,Bağcılar,KAZIM KARABEKİR,339 Sokak Kazım Karabekir Park Alanı,28.84487,41.02724
