il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bağcılar,KEMALPAŞA,Nilüfer Kadayıfçıoğlu Parkı,28.85409,41.05475
İSTANBUL,Bağcılar,KEMALPAŞA,Genç Osman Parkı,28.85191,41.04807
İSTANBUL,Bağcılar,KEMALPAŞA,Nasrettin Hoca Parkı,28.84848,41.05119
İSTANBUL,Bağcılar,KEMALPAŞA,Mahalle Konağı Parkı,28.85314,41.05368
İSTANBUL,Bağcılar,KEMALPAŞA,Kemal Paşa Muhtarlık Yanı Park,28.85064,41.04969
İSTANBUL,Bağcılar,KEMALPAŞA,Kemalpaşa Yüzme Havuzu Yanı Park,28.85053,41.04682
İSTANBUL,Bağcılar,KEMALPAŞA,Aşık Veysel İlkokulu Bahçesi,28.84958,41.04636
İSTANBUL,Bağcılar,KEMALPAŞA,Kocaragıppaşa Ortaokulu,28.85353,41.05015
İSTANBUL,Bağcılar,KEMALPAŞA,İ.T.O. Özel Eğitim Uygulama Okulu I. Kademe Bahçesi,28.84943,41.04587
İSTANBUL,Bağcılar,KEMALPAŞA,İbrahim Keresteci Ortaokulu Bahçesi,28.85121,41.04771
İSTANBUL,Bağcılar,KEMALPAŞA,Ayar Halı Saha Spor Tesisleri,28.85612,41.05361
