il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bağcılar,KİRAZLI,Mevlana Celaladdin Rumi Parkı,28.84229,41.03595
İSTANBUL,Bağcılar,KİRAZLI,Yunus Emre Parkı,28.83807,41.0353
İSTANBUL,Bağcılar,KİRAZLI,1191. Sokak Çocuk Oyun Alanı,28.83829,41.03406
İSTANBUL,Bağcılar,KİRAZLI,Kiraz Bahçesi Yeşil Alan,28.83642,41.03384
İSTANBUL,Bağcılar,KİRAZLI,Şelale Parkı,28.83555,41.03171
İSTANBUL,Bağcılar,KİRAZLI,Namık Kemal Parkı,28.84457,41.03941
İSTANBUL,Bağcılar,KİRAZLI,Kirazlı Aile Sağlık Merkez Parkı,28.84065,41.03377
İSTANBUL,Bağcılar,KİRAZLI,Kirazlı Mahalle Muhtarlığı Yanı Park,28.84052,41.03559
İSTANBUL,Bağcılar,KİRAZLI,Atatürk İlkokulu ve Bağcılar Mustafa Kemal Ortaokulu Bahçesi,28.84665,41.03342
İSTANBUL,Bağcılar,KİRAZLI,Kirazlı Metro İstasyon Alanı,28.84229,41.0326
İSTANBUL,Bağcılar,KİRAZLI,Kirazlı İlkokulu Bahçesi,28.83449,41.03601
İSTANBUL,Bağcılar,KİRAZLI,Vakıflar Ortaokulu Bahçesi,28.84208,41.03814
İSTANBUL,Bağcılar,KİRAZLI,Öznur Kahraman İmam Hatip Ortaokulu Bahçesi,28.83888,41.03794
İSTANBUL,Bağcılar,KİRAZLI,Kirazlı Merkez Cami Yanı Otopark,28.8363,41.03645
