il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bağcılar,MAHMUTBEY,Kaptan-ı Derya Piri Reis Parkı,28.82218,41.04745
İSTANBUL,Bağcılar,MAHMUTBEY,Soğuksu Parkı,28.82782,41.05846
İSTANBUL,Bağcılar,MAHMUTBEY,Mahmutbey Trafik Parkı,28.8226,41.05023
İSTANBUL,Bağcılar,MAHMUTBEY,Piri Reis Parkı,28.82513,41.05411
İSTANBUL,Bağcılar,MAHMUTBEY,Didem Sokak Parkı,28.8188,41.04596
İSTANBUL,Bağcılar,MAHMUTBEY,Hicret Parkı,28.82157,41.04665
İSTANBUL,Bağcılar,MAHMUTBEY,Hacı Bostan Cami ve Yanındaki Parkı,28.81879,41.06096
İSTANBUL,Bağcılar,MAHMUTBEY,Aliya İzzet Bogoviç Anadolu Lisesi Bahçesi,28.81806,41.0494
İSTANBUL,Bağcılar,MAHMUTBEY,Bölge İdare Mahkemesi Önü Yeşil Alan,28.8291,41.06339
İSTANBUL,Bağcılar,MAHMUTBEY,Dr. Kemal Naci Ekşi Anadolu Lisesi Bahçesi,28.82832,41.04691
İSTANBUL,Bağcılar,MAHMUTBEY,Mahmutbey Çadır Alanı Bahçesi,28.82287,41.06119
İSTANBUL,Bağcılar,MAHMUTBEY,Mahmutbey İlkokulu Bahçesi,28.82479,41.0548
İSTANBUL,Bağcılar,MAHMUTBEY,Mehmet Akif Ersoy İlkokulu Bahçesi,28.82248,41.04649
İSTANBUL,Bağcılar,MAHMUTBEY,Münir Tınaztepe Anadolu Lisesi Bahçesi,28.82896,41.04992
İSTANBUL,Bağcılar,MAHMUTBEY,Peyami Safa Ortaokulu Bahçesi,28.82218,41.04614
İSTANBUL,Bağcılar,MAHMUTBEY,Şehit Karslı Ali Ortaokulu Bahçesi,28.827,41.04958
İSTANBUL,Bağcılar,MAHMUTBEY,Stadyum Parkı,28.82002,41.05887
