il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bağcılar,MERKEZ,Küçük Park 676. Sokak Parkı,28.85941,41.03388
İSTANBUL,Bağcılar,MERKEZ,Merkez Mahallesi Muhtarlık Yanı Park,28.85899,41.03194
İSTANBUL,Bağcılar,MERKEZ,Akyiğit Ortaokulu Bahçesi,28.86483,41.0307
İSTANBUL,Bağcılar,MERKEZ,Bağcılar İlkokulu Bahçesi,28.86235,41.03177
İSTANBUL,Bağcılar,MERKEZ,Merkez Parkı,28.85769,41.03057
İSTANBUL,Bağcılar,MERKEZ,Aile Parkı,28.86239,41.0329
İSTANBUL,Bağcılar,MERKEZ,718. Sokak Parkı,28.86636,41.03157
İSTANBUL,Bağcılar,MERKEZ,Sevgi Ormanı,28.87052,41.03485
İSTANBUL,Bağcılar,MERKEZ,Dr. Sadık Ahmet Parkı,28.86973,41.03271
İSTANBUL,Bağcılar,MERKEZ,Kızılcık Bahçesi Parkı,28.86699,41.03217
