il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bağcılar,YAVUZ SELİM,Bağcılar Meydan (Sancaktepe ortak kullanım),28.85619,41.03434
İSTANBUL,Bağcılar,YAVUZ SELİM,Yavuz Sultan Selim Parkı,28.85365,41.03429
İSTANBUL,Bağcılar,YAVUZ SELİM,Saraybosna Parkı,28.85156,41.03488
İSTANBUL,Bağcılar,YAVUZ SELİM,Kestane Bahçesi Parkı,28.84989,41.03529
İSTANBUL,Bağcılar,YAVUZ SELİM,Yavuz Selim Cami Yanı Çocuk Parkı,28.84691,41.03567
İSTANBUL,Bağcılar,YAVUZ SELİM,Bağcılar Çiftlik Meydan,28.84869,41.04314
İSTANBUL,Bağcılar,YAVUZ SELİM,Yavuz Selim Mah. Muhtarlığı Parkı,28.85185,41.03828
İSTANBUL,Bağcılar,YAVUZ SELİM,992. Sokak Yeşil Alanı,28.84789,41.03744
İSTANBUL,Bağcılar,YAVUZ SELİM,Yavuz Selim Kapalı Çocuk Oyun Alanı,28.84734,41.03836
İSTANBUL,Bağcılar,YAVUZ SELİM,Yavuz Selim İlkokulu Bahçesi,28.85099,41.03714
