il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bağcılar,YENİMAHALLE,Fındık Bahçesi,28.83938,41.04113
İSTANBUL,Bağcılar,YENİMAHALLE,Genç Gökhan Özbek Parkı,28.8367,41.04256
İSTANBUL,Bağcılar,YENİMAHALLE,Halk Sarayı Yanı Açık Otopark,28.83534,41.04172
İSTANBUL,Bağcılar,YENİMAHALLE,Molla Hüsrev Parkı,28.83374,41.04447
İSTANBUL,Bağcılar,YENİMAHALLE,Ramazan Sarıkaya Parkı,28.83729,41.04093
İSTANBUL,Bağcılar,YENİMAHALLE,Yenimahalle Muhtarlık Yanı Parkı,28.83754,41.04222
İSTANBUL,Bağcılar,YENİMAHALLE,Yenimahalle Konağı Yanı Park,28.83765,41.04468
İSTANBUL,Bağcılar,YENİMAHALLE,Abdurrahman-Nermin Bilimli Anaokulu Bahçesi,28.83922,41.03968
İSTANBUL,Bağcılar,YENİMAHALLE,Arif Nihat Asya İlkokulu Bahçesi,28.83977,41.03998
İSTANBUL,Bağcılar,YENİMAHALLE,Bağcılar Cemil Meriç Ortaokulu Bahçesi,28.83845,41.04385
İSTANBUL,Bağcılar,YENİMAHALLE,Haypader Özel Eğitim Uygulama Okulu I. Kademe,28.8376,41.04419
İSTANBUL,Bağcılar,YENİMAHALLE,Mehmet Akif İnan Ortaokulu Bahçesi,28.83432,41.04076
İSTANBUL,Bağcılar,YENİMAHALLE,İstiklal İlkokulu Bahçesi,28.8385,41.04418
İSTANBUL,Bağcılar,YENİMAHALLE,Şeyh Edebali Anadolu Lisesi Bahçesi,28.83519,41.04079
