il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bağcılar,ÇINAR,757. Sokak Parkı,28.86781,41.03665
İSTANBUL,Bağcılar,ÇINAR,Çınar Bilgi Evi ve ASM,28.86518,41.03878
İSTANBUL,Bağcılar,ÇINAR,Kamil Aydemir Parkı,28.8641,41.03662
İSTANBUL,Bağcılar,ÇINAR,Çınar Cami Parkı,28.86242,41.0381
İSTANBUL,Bağcılar,ÇINAR,867. Sokak Parkı,28.86022,41.03686
İSTANBUL,Bağcılar,ÇINAR,Çınarlı Parkı,28.85905,41.03549
İSTANBUL,Bağcılar,ÇINAR,M.Asım Hacı Mustafaoğlu Parkı,28.86006,41.03499
İSTANBUL,Bağcılar,ÇINAR,Şifa Polikliniği Parkı,28.8591,41.03625
İSTANBUL,Bağcılar,ÇINAR,Dede Korkut İlkokulu Bahçesi,28.86872,41.03648
İSTANBUL,Bağcılar,ÇINAR,Ümmü Mihcen Kız Anadolu İmam Hatip Lisesi Bahçesi,28.86457,41.03428
İSTANBUL,Bağcılar,ÇINAR,Şükrü Savaşeri Ortaokulu Bahçesi,28.85956,41.03927
