il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Beykoz,GÜMÜŞSUYU,Gümüşsuyu Yol Boyu Parkı,29.1058,41.12881
İSTANBUL,Beykoz,GÜMÜŞSUYU,Yunus Emre Parkı,29.0965,41.13083
İSTANBUL,Beykoz,GÜMÜŞSUYU,Belediye Meclis Binası Arkası Otopark,29.09896,41.12724
İSTANBUL,Beykoz,GÜMÜŞSUYU,Beykoz Özel Eğitim Meslek Okulu,29.09689,41.12971
İSTANBUL,Beykoz,GÜMÜŞSUYU,Beykoz Spor Kompleksi,29.1011,41.Çatalca 7
İSTANBUL,Beykoz,GÜMÜŞSUYU,Gümüşsuyu Aşık Kerem Parkı,29.0984,41.12789
İSTANBUL,Beykoz,GÜMÜŞSUYU,Karlıtepe İlkokulu,29.12336,41.12387
İSTANBUL,Beykoz,GÜMÜŞSUYU,Karlıtepe Parkı,29.11313,41.12786
İSTANBUL,Beykoz,GÜMÜŞSUYU,Beykoz Barbaros Hayrettin Paşa Mesleki ve Teknik Anadolu Lisesi Bahçesi,29.09939,41.12553
İSTANBUL,Beykoz,GÜMÜŞSUYU,R. Şahin Köktürk Spor Salonu Önü,29.10003,41.12471
İSTANBUL,Beykoz,GÜMÜŞSUYU,Şehit Bülent Kocabıyık Parkı,29.10135,41.12634
İSTANBUL,Beykoz,GÜMÜŞSUYU,Beykoz Koç Ortaokulu,29.09553,41.13161
İSTANBUL,Beykoz,GÜMÜŞSUYU,Gümüşsuyu Spor Kulübü ve Halı Saha Tesisleri ve Yanı Parkı,29.09983,41.12731
