il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Beykoz,ÇUBUKLU,Şehit Er Murat Öndin Parkı,29.09185,41.10564
İSTANBUL,Beykoz,ÇUBUKLU,Şehit Görkem Taş Parkı,29.08822,41.10319
İSTANBUL,Beykoz,ÇUBUKLU,Ahmet Hamdi Akseki Camii,29.08854,41.09937
İSTANBUL,Beykoz,ÇUBUKLU,Atatürk İlkokulu,29.09152,41.09961
İSTANBUL,Beykoz,ÇUBUKLU,Enürbağ Camii,29.08255,41.10072
İSTANBUL,Beykoz,ÇUBUKLU,Meliha Teyze Parkı,29.08262,41.10512
İSTANBUL,Beykoz,ÇUBUKLU,Mültezem Camii,29.09513,41.10519
İSTANBUL,Beykoz,ÇUBUKLU,Telli Hüseyin Parkı,29.08318,41.10429
İSTANBUL,Beykoz,ÇUBUKLU,Vatan Cad. Refüj,29.09041,41.09491
İSTANBUL,Beykoz,ÇUBUKLU,Çubuklu Spor Kulübü Sahası,29.08364,41.10609
İSTANBUL,Beykoz,ÇUBUKLU,Çubuklu İskele Parkı,29.08056,41.10717
İSTANBUL,Beykoz,ÇUBUKLU,Dedeoğlu Parkı,29.08739,41.10714
