il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Beylikdüzü,ADNAN KAHVECİ,Ahmet Taner Kışlalı Parkı,28.63202,40.99497
İSTANBUL,Beylikdüzü,ADNAN KAHVECİ,Aşık Mahsuni Şerif Parkı,28.63697,40.99865
İSTANBUL,Beylikdüzü,ADNAN KAHVECİ,Atakent Parkı,28.62536,40.9904
İSTANBUL,Beylikdüzü,ADNAN KAHVECİ,Atatürk Parkı,28.61381,40.99186
İSTANBUL,Beylikdüzü,ADNAN KAHVECİ,Büyükdere Caddesi Parkı,28.63067,40.99513
İSTANBUL,Beylikdüzü,ADNAN KAHVECİ,Çamlık Parkı,28.6349,40.99748
İSTANBUL,Beylikdüzü,ADNAN KAHVECİ,Çamlıtepe Caddesi Parkı,28.63092,40.99773
İSTANBUL,Beylikdüzü,ADNAN KAHVECİ,Dora Park Site Önü,28.63378,41.00518
İSTANBUL,Beylikdüzü,ADNAN KAHVECİ,Kemal Sunal Parkı,28.62534,40.98964
İSTANBUL,Beylikdüzü,ADNAN KAHVECİ,Kemal Türkler Parkı,28.61714,40.99709
İSTANBUL,Beylikdüzü,ADNAN KAHVECİ,Kışla Caddesi Parkı,28.63668,41.00146
İSTANBUL,Beylikdüzü,ADNAN KAHVECİ,Kıvırcık Ali Parkı,28.62963,40.99029
İSTANBUL,Beylikdüzü,ADNAN KAHVECİ,Mevlana Parkı,28.62709,41.00719
İSTANBUL,Beylikdüzü,ADNAN KAHVECİ,Pir Sultan Abdal Parkı,28.61584,40.99245
İSTANBUL,Beylikdüzü,ADNAN KAHVECİ,Sami Aksu Parkı,28.61977,40.99231
İSTANBUL,Beylikdüzü,ADNAN KAHVECİ,Şehit Nail Sarıgan Parkı,28.61946,40.99317
İSTANBUL,Beylikdüzü,ADNAN KAHVECİ,Turhan Selçuk Parkı,28.63031,40.99969
İSTANBUL,Beylikdüzü,ADNAN KAHVECİ,Türkan Saylan Parkı,28.62983,41.00045
İSTANBUL,Beylikdüzü,ADNAN KAHVECİ,Yeşil Alan+Pazar Alanı,28.63035,41.00407
İSTANBUL,Beylikdüzü,ADNAN KAHVECİ,Hacı İmam Muhammed Uygur Cami Önü Park,28.61726,40.9943
İSTANBUL,Beylikdüzü,ADNAN KAHVECİ,Gürpınar İMKB Mesleki ve Teknik Anadolu Lisesi,28.63205,41.00733
İSTANBUL,Beylikdüzü,ADNAN KAHVECİ,Yaşam Vadisi 1. Etap,28.63517,41.00863
