il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Beylikdüzü,BARIŞ,Barış Parkı,28.65278,41.00079
İSTANBUL,Beylikdüzü,BARIŞ,Belediye Parkı,28.65057,41.01052
İSTANBUL,Beylikdüzü,BARIŞ,Cevat Şakir Karaağaç Cd. Parkı,28.65031,41.00876
İSTANBUL,Beylikdüzü,BARIŞ,Enver Adakan Parkı,28.65501,40.99904
İSTANBUL,Beylikdüzü,BARIŞ,Eray Altın Koruluğu,28.65433,41.00724
İSTANBUL,Beylikdüzü,BARIŞ,Gazanfer Özcan Parkı,28.65727,40.9995
İSTANBUL,Beylikdüzü,BARIŞ,Osmanlı Parkı,28.64484,40.99623
İSTANBUL,Beylikdüzü,BARIŞ,Şener Şen Parkı,28.64961,40.99762
İSTANBUL,Beylikdüzü,BARIŞ,Şirinler Parkı,28.65363,41.00606
İSTANBUL,Beylikdüzü,BARIŞ,Vali Recep Yazıcıoğlu Koruluğu,28.65741,41.006
İSTANBUL,Beylikdüzü,BARIŞ,Enver Adakan Parkı,28.64994,41.0025
İSTANBUL,Beylikdüzü,BARIŞ,Eğitim Vadisi,28.64372,40.99033
