il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Beylikdüzü,DEREAĞZI,Çamözü Sokak Parkı,28.61298,40.98687
İSTANBUL,Beylikdüzü,DEREAĞZI,Demokrasi Parkı,28.63085,40.9656
İSTANBUL,Beylikdüzü,DEREAĞZI,Ebru Sokak Parkı,28.62667,40.96927
İSTANBUL,Beylikdüzü,DEREAĞZI,Erdinç Sokak Parkı,28.62179,40.96693
İSTANBUL,Beylikdüzü,DEREAĞZI,Etikent Sitesi,28.62875,40.96347
İSTANBUL,Beylikdüzü,DEREAĞZI,Gürkan Sokak Parkı,28.60866,40.97689
İSTANBUL,Beylikdüzü,DEREAĞZI,Hasan Tahsin Caddesi Parkı,28.61096,40.98443
İSTANBUL,Beylikdüzü,DEREAĞZI,Hasan Tahsin Caddesi Parkı,28.61071,40.98117
İSTANBUL,Beylikdüzü,DEREAĞZI,Hisar Caddesi Parkı,28.62206,40.97026
İSTANBUL,Beylikdüzü,DEREAĞZI,Kamelya Sokak Parkı,28.61267,40.98218
İSTANBUL,Beylikdüzü,DEREAĞZI,Karacaoğlan Caddesi Parkı,28.61612,40.98437
İSTANBUL,Beylikdüzü,DEREAĞZI,Karacaoğlan Parkı,28.61799,40.98773
İSTANBUL,Beylikdüzü,DEREAĞZI,Kardeşler Sokak Parkı,28.62404,40.98469
İSTANBUL,Beylikdüzü,DEREAĞZI,Korkent Caddesi Parkı,28.61859,40.97944
İSTANBUL,Beylikdüzü,DEREAĞZI,Korukent Caddesi Parkı,28.62185,40.98019
İSTANBUL,Beylikdüzü,DEREAĞZI,Korukent Caddesi Parkı,28.6129,40.9791
İSTANBUL,Beylikdüzü,DEREAĞZI,Kumru Sokak Parkı,28.60706,40.97424
İSTANBUL,Beylikdüzü,DEREAĞZI,Kuruçeşme Caddesi Parkı,28.6208,40.98331
İSTANBUL,Beylikdüzü,DEREAĞZI,Küçük Sokak Parkı,28.61222,40.97445
İSTANBUL,Beylikdüzü,DEREAĞZI,Lider Sokak Parkı,28.62035,40.98576
İSTANBUL,Beylikdüzü,DEREAĞZI,Mete Sokak Parkı,28.61752,40.98663
İSTANBUL,Beylikdüzü,DEREAĞZI,Mihrap Sokak Parkı,28.61043,40.97333
İSTANBUL,Beylikdüzü,DEREAĞZI,Minare Sokak Parkı,28.6Büyükçekmece,40.98165
İSTANBUL,Beylikdüzü,DEREAĞZI,Minare Sokak Parkı,28.62159,40.97705
İSTANBUL,Beylikdüzü,DEREAĞZI,Mithat Paşa Ağaçlandırma Alanı,28.61453,40.96552
İSTANBUL,Beylikdüzü,DEREAĞZI,Mithatpaşa Cd. Ağaçlandırma Alanı,28.61204,40.96889
İSTANBUL,Beylikdüzü,DEREAĞZI,Neşet Ertaş Parkı,28.62853,40.98094
İSTANBUL,Beylikdüzü,DEREAĞZI,Onurlu Sokak Parkı,28.61921,40.96783
İSTANBUL,Beylikdüzü,DEREAĞZI,Ordu Caddesi Parkı,28.61376,40.97274
İSTANBUL,Beylikdüzü,DEREAĞZI,Özkan Sokak Parkı,28.62531,40.96452
İSTANBUL,Beylikdüzü,DEREAĞZI,Poyraz Sokak Parkı,28.61755,40.98887
İSTANBUL,Beylikdüzü,DEREAĞZI,Rüzgar Sokak Parkı,28.61654,40.97518
İSTANBUL,Beylikdüzü,DEREAĞZI,Sarraf Sokak Parkı,28.62804,40.97336
İSTANBUL,Beylikdüzü,DEREAĞZI,Semra Sokak Parkı,28.6311,40.97142
İSTANBUL,Beylikdüzü,DEREAĞZI,Serhat Sokak Parkı,28.62473,40.97548
İSTANBUL,Beylikdüzü,DEREAĞZI,Şenyurt Caddesi Parkı,28.62553,40.97266
İSTANBUL,Beylikdüzü,DEREAĞZI,Yakut Sokak Parkı,28.6054,40.97743
İSTANBUL,Beylikdüzü,DEREAĞZI,Yedi Kardeşler Cami Karşısı,28.60882,40.96775
İSTANBUL,Beylikdüzü,DEREAĞZI,Yeditepe Caddesi Parkı,28.62763,40.9845
İSTANBUL,Beylikdüzü,DEREAĞZI,Yıldız Cami Parkı,28.60447,40.97644
İSTANBUL,Beylikdüzü,DEREAĞZI,Zerafet Sokak Parkı,28.62549,40.98173
İSTANBUL,Beylikdüzü,DEREAĞZI,Karacaoğlan Caddesi Parkı,28.61321,40.97125
