il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Beylikdüzü,GÜRPINAR,80.Yıl Parkı,28.60798,40.98989
İSTANBUL,Beylikdüzü,GÜRPINAR,80.Yıl Parkı 2.Bölge,28.60866,40.98868
İSTANBUL,Beylikdüzü,GÜRPINAR,80.Yıl Parkı 3.Etap,28.6103,40.98794
İSTANBUL,Beylikdüzü,GÜRPINAR,80.Yıl Parkı 4. Etap,28.60876,40.98686
İSTANBUL,Beylikdüzü,GÜRPINAR,Anarşalılar Parkı,28.60357,40.99148
İSTANBUL,Beylikdüzü,GÜRPINAR,Bahçevan Sokak Parkı,28.60645,40.98217
İSTANBUL,Beylikdüzü,GÜRPINAR,Cumhuriyet Parkı,28.60852,40.98824
İSTANBUL,Beylikdüzü,GÜRPINAR,Çağla Sokak Parkı,28.60567,40.9816
İSTANBUL,Beylikdüzü,GÜRPINAR,Çağla Sokak Parkı,28.60564,40.98075
İSTANBUL,Beylikdüzü,GÜRPINAR,Çağla Sokak Parkı,28.60474,40.98035
İSTANBUL,Beylikdüzü,GÜRPINAR,Çizgi Sokak Parkı,28.6019,40.97674
İSTANBUL,Beylikdüzü,GÜRPINAR,Dede Korkut Caddesi- Çağla Sokak Kesişimi,28.60414,40.98084
İSTANBUL,Beylikdüzü,GÜRPINAR,Hacı Bektaş Veli Parkı,28.60553,40.99521
İSTANBUL,Beylikdüzü,GÜRPINAR,İstiklal Caddesi Parkı,28.60742,40.98841
İSTANBUL,Beylikdüzü,GÜRPINAR,Levent Kırca Parkı,28.60858,40.9927
İSTANBUL,Beylikdüzü,GÜRPINAR,Malik Ağa Sokak Parkı,28.61214,40.98985
İSTANBUL,Beylikdüzü,GÜRPINAR,Sefa Sokak Parkı,28.60742,40.98292
İSTANBUL,Beylikdüzü,GÜRPINAR,Şehit Asteğmen Nejdet Aydoğdu Parkı,28.60726,40.99055
İSTANBUL,Beylikdüzü,GÜRPINAR,Vatan Cd. Parkı,28.60922,40.98699
İSTANBUL,Beylikdüzü,GÜRPINAR,Ömer Seyfettin Caddesi Parkı,28.60434,40.97847
İSTANBUL,Beylikdüzü,GÜRPINAR,Yaşar Sokak Parkı,28.6Bakırköy ,40.98911
İSTANBUL,Beylikdüzü,GÜRPINAR,Aşık Veysel Güzel Sanatlar Lisesi Bahçesi ve Çevresi,28.6097,40.98561
