il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Beylikdüzü,KAVAKLI,Ay Sokak Parkı,28.64043,40.98077
İSTANBUL,Beylikdüzü,KAVAKLI,Ayasofya Cd Parkı,28.66422,40.98487
İSTANBUL,Beylikdüzü,KAVAKLI,Aydın Menderes Cd Parkı,28.66208,40.98504
İSTANBUL,Beylikdüzü,KAVAKLI,Batı Trakya Bulvarı Parkı,28.64699,40.98443
İSTANBUL,Beylikdüzü,KAVAKLI,Bedesten Sokak Parkı,28.63896,40.98338
İSTANBUL,Beylikdüzü,KAVAKLI,Çınarlı Sokak Parkı,28.63425,40.96948
İSTANBUL,Beylikdüzü,KAVAKLI,Çim Sokak Parkı,28.64011,40.97865
İSTANBUL,Beylikdüzü,KAVAKLI,Demokrasi Caddesi Parkı,28.63125,40.9786
İSTANBUL,Beylikdüzü,KAVAKLI,Esef Sokak Parkı,28.63914,40.98624
İSTANBUL,Beylikdüzü,KAVAKLI,Firuze Sokak Parkı,28.63004,40.97961
İSTANBUL,Beylikdüzü,KAVAKLI,Gültekin Sokak Parkı,28.66206,40.98253
İSTANBUL,Beylikdüzü,KAVAKLI,Hostes Mümine Bulut Parkı,28.637,40.9802
İSTANBUL,Beylikdüzü,KAVAKLI,İbrahim Müteferrika Caddesi Parkı,28.66039,40.98406
İSTANBUL,Beylikdüzü,KAVAKLI,İhlas Marmara Evleri,28.65627,40.98704
İSTANBUL,Beylikdüzü,KAVAKLI,İhlas Marmara Evleri 2.Kısım,28.65561,40.98378
İSTANBUL,Beylikdüzü,KAVAKLI,Kocatepe Caddesi Parkı,28.66525,40.98462
İSTANBUL,Beylikdüzü,KAVAKLI,Kocatepe Parkı,28.62975,40.97633
İSTANBUL,Beylikdüzü,KAVAKLI,Martı Sokak Parkı,28.64159,40.98509
İSTANBUL,Beylikdüzü,KAVAKLI,Mustafa Kemal Caddesi Parkı,28.64946,40.98519
İSTANBUL,Beylikdüzü,KAVAKLI,Orhangazi Caddesi Parkı,28.64115,40.98481
İSTANBUL,Beylikdüzü,KAVAKLI,Orhangazi Caddesi Parkı,28.64118,40.98554
İSTANBUL,Beylikdüzü,KAVAKLI,Özlem Sokak Parkı,28.64527,40.97979
İSTANBUL,Beylikdüzü,KAVAKLI,Sokullu Caddesi Parkı,28.65835,40.97859
İSTANBUL,Beylikdüzü,KAVAKLI,Spor Tesis Alanı,28.63888,40.97541
İSTANBUL,Beylikdüzü,KAVAKLI,Şehit Komando Er Ahmet Yıldız Parkı,28.63868,40.98143
İSTANBUL,Beylikdüzü,KAVAKLI,Şehitler Caddesi Parkı,28.66342,40.98731
İSTANBUL,Beylikdüzü,KAVAKLI,Yaşam Vadisi 5. Etap,28.64828,40.98225
İSTANBUL,Beylikdüzü,KAVAKLI,Yaşam Vadisi 5. Etap,28.64742,40.97866
İSTANBUL,Beylikdüzü,KAVAKLI,Yaşam Vadisi 6. Etap,28.64332,40.97198
İSTANBUL,Beylikdüzü,KAVAKLI,Yaşam Vadisi 6. Etap,28.63717,40.96707
