il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Beylikdüzü,MARMARA,234. Sokak Ağaçlandırma Alanı,28.66812,40.98222
İSTANBUL,Beylikdüzü,MARMARA,Aşık Veysel Parkı,28.66355,40.97972
İSTANBUL,Beylikdüzü,MARMARA,Deprem Öncü İşaretleri İzleme İstasyonu,28.66605,40.97556
İSTANBUL,Beylikdüzü,MARMARA,Fatih Sultan Mehmet Parkı,28.67526,40.98377
İSTANBUL,Beylikdüzü,MARMARA,Hürriyet Parkı,28.67247,40.97953
İSTANBUL,Beylikdüzü,MARMARA,İlhan Selçuk Parkı,28.66181,40.97943
İSTANBUL,Beylikdüzü,MARMARA,Kadir Topbaş Parkı,28.66857,40.97965
İSTANBUL,Beylikdüzü,MARMARA,Kızılay Parkı,28.67161,40.98485
İSTANBUL,Beylikdüzü,MARMARA,Ulus Parkı,28.66394,40.97689
İSTANBUL,Beylikdüzü,MARMARA,Ulusum Caddesi Parkı,28.65511,40.9709
İSTANBUL,Beylikdüzü,MARMARA,Volkan Parkı,28.66967,40.98079
İSTANBUL,Beylikdüzü,MARMARA,Hürriyet Parkı Karşısı Refüj Alanı,28.674,40.97753
İSTANBUL,Beylikdüzü,MARMARA,Marmara Beylik Spor Kulübü,28.68134,40.97969
İSTANBUL,Beylikdüzü,MARMARA,Özel Marmara Evleri İhlas Koleji,28.68279,40.97935
İSTANBUL,Beylikdüzü,MARMARA,İhlas 1.Kısım Çarşı Otoparkı,28.6751,40.97958
İSTANBUL,Beylikdüzü,MARMARA,Agora Çiftliği,28.67277,40.98156
İSTANBUL,Beylikdüzü,MARMARA,İhlas 1.Kısım İlkokulu Bahçesi,28.67485,40.98152
