il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Beylikdüzü,SAHİL,Arda Turan Parkı,28.64001,40.96413
İSTANBUL,Beylikdüzü,SAHİL,Bağlar Cd. Parkı,28.64892,40.97369
İSTANBUL,Beylikdüzü,SAHİL,Beyazlale Sokak Parkı,28.64685,40.96737
İSTANBUL,Beylikdüzü,SAHİL,Çetin Albeyoğlu Parkı,28.64304,40.96597
İSTANBUL,Beylikdüzü,SAHİL,Hanedan Sokak Parkı 2,28.64994,40.97646
İSTANBUL,Beylikdüzü,SAHİL,Hanedan Sokak Parkı 1,28.64932,40.97797
İSTANBUL,Beylikdüzü,SAHİL,Hanedan Sokak Parkı 3,28.6495,40.97417
İSTANBUL,Beylikdüzü,SAHİL,Kalyon Sokak Parkı,28.64975,40.971
İSTANBUL,Beylikdüzü,SAHİL,Kaptanı Derya Sokak Parkı,28.65375,40.97573
İSTANBUL,Beylikdüzü,SAHİL,Kaptanı Derya Sokak Parkı,28.65116,40.96642
İSTANBUL,Beylikdüzü,SAHİL,Kavaklıkent Parkı,28.65567,40.97566
İSTANBUL,Beylikdüzü,SAHİL,Mustafa Kemal Caddesi Parkı,28.65184,40.9762
İSTANBUL,Beylikdüzü,SAHİL,Mustafa Kemal Caddesi - Kavaklı Kent,28.65653,40.97594
İSTANBUL,Beylikdüzü,SAHİL,Münir Özkul Parkı,28.64532,40.9665
