il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Beylikdüzü,YAKUPLU,152. Sokak Parkı,28.67322,40.99788
İSTANBUL,Beylikdüzü,YAKUPLU,192.Sokak Parkı,28.67394,41.00337
İSTANBUL,Beylikdüzü,YAKUPLU,194. Sokak Parkı,28.67528,41.00167
İSTANBUL,Beylikdüzü,YAKUPLU,24.Sokak Parkı,28.67846,40.98397
İSTANBUL,Beylikdüzü,YAKUPLU,Başkent Cd Parkı,28.67689,40.99804
İSTANBUL,Beylikdüzü,YAKUPLU,Fatih Sultan Mehmet Caddesi Parkı,28.66959,40.98531
İSTANBUL,Beylikdüzü,YAKUPLU,Fatih Sultan Mehmet Cadde Üzeri Parkı,28.6773,40.98418
İSTANBUL,Beylikdüzü,YAKUPLU,Kazım Karabekir Parkı,28.67084,41.00172
İSTANBUL,Beylikdüzü,YAKUPLU,Malazgirt Parkı,28.66751,40.98945
İSTANBUL,Beylikdüzü,YAKUPLU,Mareşal Fevzi Çakmak Parkı,28.67337,40.99648
İSTANBUL,Beylikdüzü,YAKUPLU,Milli Egemenlik Parkı,28.67394,41.00026
İSTANBUL,Beylikdüzü,YAKUPLU,Oğuzhan Parkı,28.67443,40.98997
İSTANBUL,Beylikdüzü,YAKUPLU,Sarı Zeybek Caddesi Parkı,28.68661,40.99255
İSTANBUL,Beylikdüzü,YAKUPLU,Serander Parkı,28.66771,40.99042
İSTANBUL,Beylikdüzü,YAKUPLU,Şht. Piy. Ast. Bilal Özcan Parkı,28.67712,40.98602
İSTANBUL,Beylikdüzü,YAKUPLU,Turgut Reis Parkı,28.67385,40.9941
İSTANBUL,Beylikdüzü,YAKUPLU,Yakuplu Mah Piknik Alanı,28.66803,41.00397
