il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Büyükçekmece,PINARTEPE,Dr.Sadık Ahmet Parkı,28.60808,41.00424
İSTANBUL,Büyükçekmece,PINARTEPE,Belediye Parkı,28.60697,40.9966
İSTANBUL,Büyükçekmece,PINARTEPE,Köykent Parkı,28.60815,40.99904
İSTANBUL,Büyükçekmece,PINARTEPE,Alamara Sanat Merkezi Bahçesi,28.61361,41.00077
İSTANBUL,Büyükçekmece,PINARTEPE,Pınartepe İlköğretim Okulu Bahçesi,28.60575,40.9994
İSTANBUL,Büyükçekmece,PINARTEPE,Pınartepe İlköğretim Okulu Yanı Otopark Alanı,28.60597,40.99989
İSTANBUL,Büyükçekmece,PINARTEPE,Beykent Fatih Koleji Bahçesi,28.62408,41.01627
İSTANBUL,Büyükçekmece,PINARTEPE,Ateş Sokak Parkı ve Hazreti Osman Cami Bahçesi,28.60693,41.00239
İSTANBUL,Büyükçekmece,PINARTEPE,Esin 1 Sokak Parkı,28.6049,41.008
İSTANBUL,Büyükçekmece,PINARTEPE,Fırtına Sokak Parkı,28.61324,40.99565
İSTANBUL,Büyükçekmece,PINARTEPE,Akyurt Caddesi Sosyal Tesisler Bahçesi,28.62077,41.01094
