il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Büyükçekmece,TÜRKOBA,Türkoaba Meydanı,28.52264,41.03377
İSTANBUL,Büyükçekmece,TÜRKOBA,Türkoba Parkı,28.52217,41.03483
İSTANBUL,Büyükçekmece,TÜRKOBA,Zeynel Abidin Cami Arkası,28.52624,41.03233
İSTANBUL,Büyükçekmece,TÜRKOBA,Bahardır  Demir İlköğretim Okulu Yanı Yeşil Alan,28.51583,41.04926
İSTANBUL,Büyükçekmece,TÜRKOBA,Bahadır Demir İlköğretim Okulu Bahçesi,28.51621,41.04791
İSTANBUL,Büyükçekmece,TÜRKOBA,Tepekent Anadolu Lisesi Bahçesi,28.50662,41.02843
İSTANBUL,Büyükçekmece,TÜRKOBA,Türkoba İlköğretim Okulu Bahçesi,28.52379,41.03348
İSTANBUL,Büyükçekmece,TÜRKOBA,Cennetin Gözü Parkı,28.51286,41.04625
İSTANBUL,Büyükçekmece,TÜRKOBA,Tepekent Çevresi Yeşil Alanlar,28.50266,41.0588
İSTANBUL,Büyükçekmece,TÜRKOBA,İBB Mimar Turgut Cansever İlkokulu Bahçesi,28.51346,41.02543
