il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Esenler,BİRLİK,Deprem Parkı,28.8682,41.05162
İSTANBUL,Esenler,BİRLİK,Hz. Bilal Habeşi Camii Yanı Parkı,28.86834,41.04754
İSTANBUL,Esenler,BİRLİK,Taş Camii Önü Meydan,28.87262,41.04978
İSTANBUL,Esenler,BİRLİK,821.Sokak Parkı,28.87143,41.05054
İSTANBUL,Esenler,BİRLİK,Yürüyüş Yolu Parkı,28.86616,41.05172
İSTANBUL,Esenler,BİRLİK,Birlik Mah. Pazar Yeri Meydanı,28.87141,41.05343
İSTANBUL,Esenler,BİRLİK,Taşcami Önü Meydan ve Park Alanı,28.86987,41.05087
İSTANBUL,Esenler,BİRLİK,Şehit Hüseyin Kısa Ortaokulu Bahçesi,28.86732,41.04976
İSTANBUL,Esenler,BİRLİK,783. Sokak Açık Otopark,28.86718,41.0484
İSTANBUL,Esenler,BİRLİK,Gazi Caddesi Parkı ve Çevresi-2,28.86647,41.05258
