il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Esenler,ORUÇREİS,Ulubatlı Hasan Parkı,28.85536,41.05596
İSTANBUL,Esenler,ORUÇREİS,100 Yıl Parkı,28.85858,41.06533
İSTANBUL,Esenler,ORUÇREİS,Tekstilkent Cami Yanı Meydan,28.8697,41.06419
İSTANBUL,Esenler,ORUÇREİS,Hz. Ömer Camii Çevresi,28.85738,41.06625
İSTANBUL,Esenler,ORUÇREİS,Tekstilkent İETT Peronu Bahçesi,28.86651,41.06953
İSTANBUL,Esenler,ORUÇREİS,Aksoy İmam Hatip Ortaokulu Bahçesi,28.85842,41.06234
İSTANBUL,Esenler,ORUÇREİS,Mareşal Fevzi Çakmak İlkokulu Bahçesi,28.85768,41.06244
İSTANBUL,Esenler,ORUÇREİS,Oruç Reis Anadolu İmam Hatip Lisesi Bahçesi,28.857,41.06255
İSTANBUL,Esenler,ORUÇREİS,Oruçreis İlkokulu ve Ortaokulu Bahçesi,28.85788,41.05541
İSTANBUL,Esenler,ORUÇREİS,Şehit Türkmen Tekin Kız Anadolu İmam Hatip Lisesi Bahçesi,28.85827,41.06619
İSTANBUL,Esenler,ORUÇREİS,534. Sokak Açık Otopark,28.86186,41.06515
