il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Esenler,TUNA,Alaattin Kadayıfçıoğlu Parkı,28.85656,41.05435
İSTANBUL,Esenler,TUNA,Şehit Celal Demir Parkı,28.85979,41.05073
İSTANBUL,Esenler,TUNA,Çinçinderesi Parkı,28.86493,41.05082
İSTANBUL,Esenler,TUNA,Şelale Parkı,28.86547,41.04865
İSTANBUL,Esenler,TUNA,Amiral Vehbi Ziya Dümer Lisesi Bahçesi,28.86562,41.04599
İSTANBUL,Esenler,TUNA,Şehit Emrah Sağaz İlkokulu Bahçesi,28.86142,41.05284
İSTANBUL,Esenler,TUNA,Tuna Mesleki Teknik Anadolu Lisesi Bahçesi,28.86629,41.04629
İSTANBUL,Esenler,TUNA,Türk-İsveç Kardeşlik İlkokulu Bahçesi,28.8672,41.0454
İSTANBUL,Esenler,TUNA,Esenler Ticaret Meslek Lisesi Karşısı Yeşil Alan,28.86595,41.04726
İSTANBUL,Esenler,TUNA,Gazi Caddesi Parkı,28.8586,41.05409
İSTANBUL,Esenler,TUNA,Tuna Mah. Muhtarlı Yanı Pazar alanı,28.86014,41.05004
İSTANBUL,Esenler,TUNA,Hakkı Başar Spor Kompleksi Bahçesi,28.86601,41.04544
İSTANBUL,Esenler,TUNA,Gazi Caddesi Parkı ve Çevresi-1,28.86022,41.05452
