il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Eyüp ,AKŞEMSETTİN,İBB Barış Manço Parkı,28.9274,41.08984
İSTANBUL,Eyüp ,AKŞEMSETTİN,Akşemsettin Parkı,28.92308,41.0853
İSTANBUL,Eyüp ,AKŞEMSETTİN,Şafak Sokak Parkı,28.93003,41.08942
İSTANBUL,Eyüp ,AKŞEMSETTİN,Güneş  Parkı,28.92107,41.08768
İSTANBUL,Eyüp ,AKŞEMSETTİN,Veysel Karani Parkı ve Parseller Futbol Sahası,28.92877,41.08087
İSTANBUL,Eyüp ,AKŞEMSETTİN,Necip Fazıl Kısakürek Parkı,28.92249,41.09006
İSTANBUL,Eyüp ,AKŞEMSETTİN,Erdemliler Parkı,28.92472,41.08991
İSTANBUL,Eyüp ,AKŞEMSETTİN,Fetih Parkı,28.92539,41.08431
İSTANBUL,Eyüp ,AKŞEMSETTİN,Lale Parkı,28.93086,41.08656
İSTANBUL,Eyüp ,AKŞEMSETTİN,Leylak Pakı,28.93241,41.08693
