il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Eyüp ,GÖKTÜRK MERKEZ,Halk Pazarı Parkı,28.88945,41.17874
İSTANBUL,Eyüp ,GÖKTÜRK MERKEZ,Özgecan Sağlıklı Yaşam,28.89012,41.17124
İSTANBUL,Eyüp ,GÖKTÜRK MERKEZ,Kaynak Sokak İle Kale Sokak Arası,28.88331,41.18683
İSTANBUL,Eyüp ,GÖKTÜRK MERKEZ,Köprübaşı No:13 Yanı Boş Alan,28.87525,41.18312
İSTANBUL,Eyüp ,GÖKTÜRK MERKEZ,Mehmet Akif Ersoy Pakı,28.89346,41.17609
İSTANBUL,Eyüp ,GÖKTÜRK MERKEZ,Çamlık 1 Parkı,28.89291,41.17747
İSTANBUL,Eyüp ,GÖKTÜRK MERKEZ,Çamlık 2 Parkı,28.89267,41.17697
İSTANBUL,Eyüp ,GÖKTÜRK MERKEZ,İstanbul Caddesi Kumlu Geçit Sokak Fen İşleri Şantiyesi Yanı Boş Arazi,28.87822,41.18585
İSTANBUL,Eyüp ,GÖKTÜRK MERKEZ,Kemer Country Site İçi Yeşil Alan,28.89936,41.17797
İSTANBUL,Eyüp ,GÖKTÜRK MERKEZ,Göktürk Futbol Sahası,28.87468,41.18811
