il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Eyüp ,ÇIRÇIR,İBB Kutlu Doğum Parkı,28.93918,41.07902
İSTANBUL,Eyüp ,ÇIRÇIR,Güzel Sokak Parkı,28.9343,41.08044
İSTANBUL,Eyüp ,ÇIRÇIR,Şehit İbrahim Candemir Parkı,28.9325,41.0804
İSTANBUL,Eyüp ,ÇIRÇIR,Uludağ Parkı,28.94384,41.07954
İSTANBUL,Eyüp ,ÇIRÇIR,Ertuğrul Gazi Parkı,28.94083,41.08311
İSTANBUL,Eyüp ,ÇIRÇIR,Şehit Ali Bekdemir Parkı,28.9416,41.08171
İSTANBUL,Eyüp ,ÇIRÇIR,İBB Asım Yıldız Parkı,28.9369,41.08769
İSTANBUL,Eyüp ,ÇIRÇIR,Hüseyin Çatalkaş Parkı,28.93929,41.08072
İSTANBUL,Eyüp ,ÇIRÇIR,Şehit Adil Hışt Parkı,28.93098,41.08284
İSTANBUL,Eyüp ,ÇIRÇIR,Park,28.93369,41.08606
