il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Fatih ,DERVİŞ ALİ,Edirnekapı Meydanı,28.93628,41.02979
İSTANBUL,Fatih ,DERVİŞ ALİ,Kurtağa Parkı,28.93974,41.02851
İSTANBUL,Fatih ,DERVİŞ ALİ,Kariye Meydan Parkı,28.93834,41.03124
İSTANBUL,Fatih ,DERVİŞ ALİ,Dervişali Parkı,28.94156,41.02896
İSTANBUL,Fatih ,DERVİŞ ALİ,Kariye Şehir Parkı,28.93972,41.03093
İSTANBUL,Fatih ,DERVİŞ ALİ,Karagümrük Stadı,28.93908,41.02783
İSTANBUL,Fatih ,DERVİŞ ALİ,Hattat Rakım Ortaokulu,28.93771,41.02857
İSTANBUL,Fatih ,DERVİŞ ALİ,Muallim Naci İlkokulu,28.9423,41.02997
İSTANBUL,Fatih ,DERVİŞ ALİ,Karagümrük Stadı yanı,28.93985,41.02697
İSTANBUL,Fatih ,DERVİŞ ALİ,Ozel Sultan Fatih Koleji Bahçesi,28.9438,41.02769
