il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Fatih ,MEVLANAKAPI,Melek Hatun Parkı,28.9232,41.01398
İSTANBUL,Fatih ,MEVLANAKAPI,Silivrikapı Set Üstü Parkı,28.92459,41.00696
İSTANBUL,Fatih ,MEVLANAKAPI,Kalburcu Mehmet Parkı,28.92606,41.01724
İSTANBUL,Fatih ,MEVLANAKAPI,Kırımlı Parkı,28.92439,41.01654
İSTANBUL,Fatih ,MEVLANAKAPI,İbrahim Çavuş Parkı,28.92574,41.01225
İSTANBUL,Fatih ,MEVLANAKAPI,Veledi Karabaş Parkı,28.923,41.01109
İSTANBUL,Fatih ,MEVLANAKAPI,Kemikliburun Parkı,28.92511,41.0177
İSTANBUL,Fatih ,MEVLANAKAPI,Ali Nar İmam Hatip Ortaokulu,28.92572,41.01647
İSTANBUL,Fatih ,MEVLANAKAPI,Fatih Atatürk Çağdaş Yaşam Çok Programlı Anadolu Lisesi,28.92752,41.01703
İSTANBUL,Fatih ,MEVLANAKAPI,Şehit Yunus Emre Ezer İlkokulu,28.92593,41.0102
İSTANBUL,Fatih ,MEVLANAKAPI,Oktay Spor Tesisleri-Görkem Halı Saha,28.92347,41.00734
İSTANBUL,Fatih ,MEVLANAKAPI,İbrahim Alaettin Gövsa Ortaokulu-Kara Ahmet Paşa İlköğretim Okulu,28.92698,41.0164
İSTANBUL,Fatih ,MEVLANAKAPI,Mevlanakapı Çok Amaçlı Rekreasyon Alanı,28.92371,41.01737
