il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Fatih ,SEYYİD ÖMER,Seyyid Ömer Meydanı ve Seydibey Camii,28.93196,41.00973
İSTANBUL,Fatih ,SEYYİD ÖMER,Şehit Ast. Furkan Işık Parkı,28.93305,41.00975
İSTANBUL,Fatih ,SEYYİD ÖMER,Mustafa Nafi Parkı,28.92804,41.00745
İSTANBUL,Fatih ,SEYYİD ÖMER,Kamil Başaran Parkı,28.93058,41.00818
İSTANBUL,Fatih ,SEYYİD ÖMER,Taşköprülü Parkı,28.93396,41.00819
İSTANBUL,Fatih ,SEYYİD ÖMER,Seyyid Ömer Şelaleli Park,28.93453,41.00925
İSTANBUL,Fatih ,SEYYİD ÖMER,Uzun Yusuf Parkı,28.92657,41.00788
İSTANBUL,Fatih ,SEYYİD ÖMER,Fındıkzade Çukurbostan Şehir Parkı,28.93449,41.01038
İSTANBUL,Fatih ,SEYYİD ÖMER,Vedide Baha Pars Ortaokulu,28.93211,41.00883
İSTANBUL,Fatih ,SEYYİD ÖMER,Park,28.93266,41.00871
