il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Fatih ,YEDİKULE,Yedikule Parkı,28.92402,40.99402
İSTANBUL,Fatih ,YEDİKULE,"Hacıpiri Sk. Bakırköy  Ada, 3-4 ve 33 No.lu Boş Parseller",28.92165,40.99823
İSTANBUL,Fatih ,YEDİKULE,Derbağ Hacı Piri Mehmet Efendi Camii,28.92253,40.99837
İSTANBUL,Fatih ,YEDİKULE,Yedikule Anadolu Lisesi,28.92527,40.99788
İSTANBUL,Fatih ,YEDİKULE,Yedikule İlkokulu,28.92467,40.99783
İSTANBUL,Fatih ,YEDİKULE,Yedikule Yüzme Havuzu Birleşmiş,28.9249,40.99879
İSTANBUL,Fatih ,YEDİKULE,Yedikule Zindanları Açık Alanı,28.92324,40.99314
İSTANBUL,Fatih ,YEDİKULE,Yedikule Parkı,28.92238,40.99519
İSTANBUL,Fatih ,YEDİKULE,Zigana Spor Tesisleri Açık Sahaları,28.92242,40.99929
İSTANBUL,Fatih ,YEDİKULE,Yedikule Sur Parkı,28.92281,40.99396
