il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Fatih ,ŞEHREMİNİ,Vezir Parkı,28.93116,41.01094
İSTANBUL,Fatih ,ŞEHREMİNİ,Çukurbostan Parkı,28.93367,41.01134
İSTANBUL,Fatih ,ŞEHREMİNİ,Büyük Saray Meydanı Parkı,28.92892,41.01493
İSTANBUL,Fatih ,ŞEHREMİNİ,Aydın Kethüda (Kurşunlu) Camii,28.92764,41.01187
İSTANBUL,Fatih ,ŞEHREMİNİ,Behruzağa Odabaşı Camii,28.93107,41.01199
İSTANBUL,Fatih ,ŞEHREMİNİ,Şehremini Anadolu Lisesi,28.93568,41.0Fatih 
İSTANBUL,Fatih ,ŞEHREMİNİ,Gazi İmam Hatip Ortaokulu,28.93404,41.01287
İSTANBUL,Fatih ,ŞEHREMİNİ,Çapa İlkokulu,28.93641,41.01142
İSTANBUL,Fatih ,ŞEHREMİNİ,Çapa Atatürk Ortaokulu,28.93535,41.01259
İSTANBUL,Fatih ,ŞEHREMİNİ,Selçuk Mesleki ve Teknik Anadolu Lisesi,28.93643,41.01269
