il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Gaziosmanpaşa,BARBAROS HAYRETTİN PAŞA,1181 Sokak Parkı,28.89735,41.07743
İSTANBUL,Gaziosmanpaşa,BARBAROS HAYRETTİN PAŞA,Mahmut Saim Akal Parkı,28.89468,41.0762
İSTANBUL,Gaziosmanpaşa,BARBAROS HAYRETTİN PAŞA,1072 Sk. Boş Arazi,28.89304,41.07848
İSTANBUL,Gaziosmanpaşa,BARBAROS HAYRETTİN PAŞA,Barbaros Parkı İlkokulu Bahçesi,28.88889,41.07404
İSTANBUL,Gaziosmanpaşa,BARBAROS HAYRETTİN PAŞA,Gaziosmanpaşa Anadolu Lisesi Bahçesi,28.89775,41.07566
İSTANBUL,Gaziosmanpaşa,BARBAROS HAYRETTİN PAŞA,Mustafa Yeşil İmam Ortaokulu Bahçesi,28.89184,41.07813
İSTANBUL,Gaziosmanpaşa,BARBAROS HAYRETTİN PAŞA,Osmangazi Anadolu İmam Hatip Lisesi Bahçesi,28.89709,41.07629
İSTANBUL,Gaziosmanpaşa,BARBAROS HAYRETTİN PAŞA,Preveze İlkokulu Bahçesi,28.89252,41.07851
İSTANBUL,Gaziosmanpaşa,BARBAROS HAYRETTİN PAŞA,Barbaros Hayrettinpaşa Mh. Spor Alanı ve Otoparkı,28.89523,41.07803
İSTANBUL,Gaziosmanpaşa,BARBAROS HAYRETTİN PAŞA,Beşiktaş Sokak Yeşil Alan,28.89713,41.07774
