il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Gaziosmanpaşa,FEVZİ ÇAKMAK,Valide Sultan Parkı,28.90769,41.07524
İSTANBUL,Gaziosmanpaşa,FEVZİ ÇAKMAK,Sedat Balkanlı Spor Parkı,28.90667,41.07589
İSTANBUL,Gaziosmanpaşa,FEVZİ ÇAKMAK,797.Sokak Parkı,28.9124,41.0692
İSTANBUL,Gaziosmanpaşa,FEVZİ ÇAKMAK,Kırkçeşme Yürüyüş Parkı,28.91274,41.07238
İSTANBUL,Gaziosmanpaşa,FEVZİ ÇAKMAK,Şelale Parkı,28.91401,41.07123
İSTANBUL,Gaziosmanpaşa,FEVZİ ÇAKMAK,Fevzi Çakmak Parkı ( Muhtarlık Yanı ),28.90213,41.07233
İSTANBUL,Gaziosmanpaşa,FEVZİ ÇAKMAK,Validesuyu Camii Bahçesi,28.90592,41.07516
İSTANBUL,Gaziosmanpaşa,FEVZİ ÇAKMAK,Fevziçakmak Çadırkent Alanı,28.91085,41.07004
İSTANBUL,Gaziosmanpaşa,FEVZİ ÇAKMAK,Şehit Gökhan Topçu Anadolu Lisesi Bahçesi,28.91187,41.07242
İSTANBUL,Gaziosmanpaşa,FEVZİ ÇAKMAK,761/1 Sokak Parkı,28.90512,41.07199
İSTANBUL,Gaziosmanpaşa,FEVZİ ÇAKMAK,İsmail Hakkı Demir Parkı,28.90458,41.07144
İSTANBUL,Gaziosmanpaşa,FEVZİ ÇAKMAK,Seyrantepe Parkı,28.91331,41.07128
İSTANBUL,Gaziosmanpaşa,FEVZİ ÇAKMAK,Şelale Parkı Yanı Açık Halı Saha,28.91463,41.07025
