il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Gaziosmanpaşa,KARADENİZ,1220 Sokak Parkı,28.87704,41.08343
İSTANBUL,Gaziosmanpaşa,KARADENİZ,Çanakkale Şehitler Parkı,28.8874,41.0859
İSTANBUL,Gaziosmanpaşa,KARADENİZ,Mehmet Akif Caddesi Parkı,28.88673,41.08168
İSTANBUL,Gaziosmanpaşa,KARADENİZ,Karayolları Spor Parkı,28.88994,41.08356
İSTANBUL,Gaziosmanpaşa,KARADENİZ,Hamidiye Cadde Parkı,28.88112,41.07632
İSTANBUL,Gaziosmanpaşa,KARADENİZ,Selanik Caddesi Parkı,28.88188,41.07943
İSTANBUL,Gaziosmanpaşa,KARADENİZ,1215. Sokak Parkı,28.87777,41.08335
İSTANBUL,Gaziosmanpaşa,KARADENİZ,Ertuğrul Gazi Caddesi Parkı,28.88903,41.08411
İSTANBUL,Gaziosmanpaşa,KARADENİZ,Namık Kemal Caddesi Parkı,28.88072,41.07829
İSTANBUL,Gaziosmanpaşa,KARADENİZ,Ana tahliye Alanı 3,28.88025,41.07999
İSTANBUL,Gaziosmanpaşa,KARADENİZ,Adnan Menderes İlkokulu Bahçesi,28.88023,41.08524
İSTANBUL,Gaziosmanpaşa,KARADENİZ,Adnan Menderes Ortaokulu Bahçesi,28.88104,41.08536
İSTANBUL,Gaziosmanpaşa,KARADENİZ,Evliya Çelebi İmam Hatip Ortaokulu Bahçesi,28.88401,41.08244
İSTANBUL,Gaziosmanpaşa,KARADENİZ,Gazi Ahmet Muhtar Paşa Okulu Bahçesi,28.88017,41.07679
İSTANBUL,Gaziosmanpaşa,KARADENİZ,Gazipaşa İlkokulu Bahçesi,28.88548,41.08301
İSTANBUL,Gaziosmanpaşa,KARADENİZ,Özel Mavigün Koleji Bahçesi,28.8915,41.08227
İSTANBUL,Gaziosmanpaşa,KARADENİZ,1128 -1176 Sk. Otopark Alanı,28.88533,41.08599
İSTANBUL,Gaziosmanpaşa,KARADENİZ,Venezzia Avm Otoparkı,28.87699,41.08189
İSTANBUL,Gaziosmanpaşa,KARADENİZ,Eren Bülbül Parkı,28.8786,41.08245
İSTANBUL,Gaziosmanpaşa,KARADENİZ,Mehmet Niyazi Özdemir Parkı,28.88545,41.07937
İSTANBUL,Gaziosmanpaşa,KARADENİZ,Menekşe Parkı,28.88119,41.0823
