il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Gaziosmanpaşa,KARAYOLLARI,Fatih Cadde Parkı,28.89467,41.08699
İSTANBUL,Gaziosmanpaşa,KARAYOLLARI,651. Sokak Parkı Karşısı Boş Alanı,28.89318,41.08442
İSTANBUL,Gaziosmanpaşa,KARAYOLLARI,Avrupa Konutları Süleyman Çetinkaya Camii Bahçesi,28.90532,41.08639
İSTANBUL,Gaziosmanpaşa,KARAYOLLARI,Ehlibeyt Camii Bahçesi,28.90326,41.08235
İSTANBUL,Gaziosmanpaşa,KARAYOLLARI,Fatih Camii Bahçesi,28.89544,41.08918
İSTANBUL,Gaziosmanpaşa,KARAYOLLARI,Ana tahliye Alanı 1,28.90639,41.08798
İSTANBUL,Gaziosmanpaşa,KARAYOLLARI,Avrupa Konutları Okulları Bahçesi,28.90442,41.08616
İSTANBUL,Gaziosmanpaşa,KARAYOLLARI,Emine Sabit Büyükbayrak Ortaokulu Bahçesi,28.89626,41.08583
İSTANBUL,Gaziosmanpaşa,KARAYOLLARI,"Gaziosmanpaşa Mesleki ve Teknik Anadolu Lisesi 
Bahçesi",28.89278,41.08863
İSTANBUL,Gaziosmanpaşa,KARAYOLLARI,651 Sokak Parkı,28.89258,41.08556
İSTANBUL,Gaziosmanpaşa,KARAYOLLARI,Fatih Camii Karşısı Yeşil Alanı,28.89619,41.08872
İSTANBUL,Gaziosmanpaşa,KARAYOLLARI,Galeri Caddesi Parkı,28.89918,41.08185
İSTANBUL,Gaziosmanpaşa,KARAYOLLARI,Kudüs Parkı,28.89251,41.08987
İSTANBUL,Gaziosmanpaşa,KARAYOLLARI,Şehit Savcı Mehmet Selim Kiraz Parkı,28.89809,41.08832
İSTANBUL,Gaziosmanpaşa,KARAYOLLARI,Yıldız Camii Bahçesi,28.89928,41.0856
