il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Gaziosmanpaşa,KAZIM KARABEKİR,Yağlıdere Parkı,28.91603,41.07146
İSTANBUL,Gaziosmanpaşa,KAZIM KARABEKİR,805 Sokak Parkı,28.91084,41.07519
İSTANBUL,Gaziosmanpaşa,KAZIM KARABEKİR,Şehit Komiser Bülent Üstün Parkı,28.91359,41.07696
İSTANBUL,Gaziosmanpaşa,KAZIM KARABEKİR,23 Nisan Parkı,28.90769,41.07658
İSTANBUL,Gaziosmanpaşa,KAZIM KARABEKİR,Zafer Parkı,28.9068,41.07836
İSTANBUL,Gaziosmanpaşa,KAZIM KARABEKİR,Küçükköy Tatbikat Camii Bahçesi,28.909,41.08421
İSTANBUL,Gaziosmanpaşa,KAZIM KARABEKİR,Arman Polat Ortaokulu Bahçesi,28.91214,41.07748
İSTANBUL,Gaziosmanpaşa,KAZIM KARABEKİR,Dede Korkut İlkokulu Bahçesi,28.91073,41.07987
İSTANBUL,Gaziosmanpaşa,KAZIM KARABEKİR,Küçükköy Anadolu İmam Hatip Lisesi Bahçesi,28.90978,41.08385
İSTANBUL,Gaziosmanpaşa,KAZIM KARABEKİR,Küçükköy Kız Anadolu İmam Hatip Lisesi Bahçesi,28.90987,41.08428
İSTANBUL,Gaziosmanpaşa,KAZIM KARABEKİR,Fetih Gençlik Parkı,28.91027,41.08218
