il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Gaziosmanpaşa,MEVLANA,Fetih Parkı,28.91151,41.08474
İSTANBUL,Gaziosmanpaşa,MEVLANA,Muhsin Yazıcıoğlu Parkı,28.91489,41.08697
İSTANBUL,Gaziosmanpaşa,MEVLANA,Şht. Sezer Yükel Parkı,28.91583,41.08357
İSTANBUL,Gaziosmanpaşa,MEVLANA,GOP Gençlik Parkı,28.91358,41.0907
İSTANBUL,Gaziosmanpaşa,MEVLANA,Mevlana Parkı,28.91773,41.0872
İSTANBUL,Gaziosmanpaşa,MEVLANA,Ana tahliye Alanı 2,28.9Sancaktepe,41.09356
İSTANBUL,Gaziosmanpaşa,MEVLANA,Gazikent İlkokulu Bahçesi,28.91715,41.09017
İSTANBUL,Gaziosmanpaşa,MEVLANA,Gazikent Ortaokulu Bahçesi,28.91673,41.08986
İSTANBUL,Gaziosmanpaşa,MEVLANA,Mevlana Anadolu Lisesi Bahçesi,28.91351,41.08558
İSTANBUL,Gaziosmanpaşa,MEVLANA,832 Sokak Parkı,28.91243,41.08512
İSTANBUL,Gaziosmanpaşa,MEVLANA,Şehit Recep Bodur Parkı,28.91778,41.0851
İSTANBUL,Gaziosmanpaşa,MEVLANA,Mevlana Parkı Karşısı Halı Saha,28.91834,41.08863
