il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Güngören,ABDURRAHMAN NAFİZ GÜRMAN,23 Nisan Parkı,28.88712,41.00318
İSTANBUL,Güngören,ABDURRAHMAN NAFİZ GÜRMAN,19 Mayıs Parkı,28.88876,41.00368
İSTANBUL,Güngören,ABDURRAHMAN NAFİZ GÜRMAN,30 Ağustos Parkı,28.8912,41.00488
İSTANBUL,Güngören,ABDURRAHMAN NAFİZ GÜRMAN,29 Ekim Parkı,28.89252,41.00573
İSTANBUL,Güngören,ABDURRAHMAN NAFİZ GÜRMAN,Saray Bosna Parkı,28.89222,41.00878
İSTANBUL,Güngören,ABDURRAHMAN NAFİZ GÜRMAN,Mehmet Akif Parkı,28.89318,41.00863
İSTANBUL,Güngören,ABDURRAHMAN NAFİZ GÜRMAN,Sağlık Yaşam Parkı,28.88386,41.00342
İSTANBUL,Güngören,ABDURRAHMAN NAFİZ GÜRMAN,Gündoğdu Parkı,28.89142,41.00803
İSTANBUL,Güngören,ABDURRAHMAN NAFİZ GÜRMAN,Nazım Erten Sokak Parkı,28.88301,41.00701
İSTANBUL,Güngören,ABDURRAHMAN NAFİZ GÜRMAN,Tuncay Azaphan Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.88592,41.00817
İSTANBUL,Güngören,ABDURRAHMAN NAFİZ GÜRMAN,Veysel Karani Camii Avlusu,28.8868,41.0085
İSTANBUL,Güngören,ABDURRAHMAN NAFİZ GÜRMAN,50.Yıl Ahmet Merter İlkokulu Bahçesi,28.88792,41.006
İSTANBUL,Güngören,ABDURRAHMAN NAFİZ GÜRMAN,Güngören Belediyesi Merter Açık Otoparkı,28.89532,41.00694
