il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Güngören,GENÇOSMAN,Mustafa Yaşar Parkı,28.88141,41.0314
İSTANBUL,Güngören,GENÇOSMAN,Sadık Özgür Parkı,28.88199,41.03026
İSTANBUL,Güngören,GENÇOSMAN,Yunus Emre Parkı,28.87634,41.03022
İSTANBUL,Güngören,GENÇOSMAN,80.Yıl Parkı,28.8786,41.02754
İSTANBUL,Güngören,GENÇOSMAN,Piknik Parkı,28.87505,41.02979
İSTANBUL,Güngören,GENÇOSMAN,Esnaf Parkı,28.88111,41.0326
İSTANBUL,Güngören,GENÇOSMAN,Ayazma Parkı,28.87856,41.032
İSTANBUL,Güngören,GENÇOSMAN,Gençosman Camii Bahçesi,28.87398,41.02685
İSTANBUL,Güngören,GENÇOSMAN,Mehmet Akif Camii Bahçesi,28.87351,41.03295
İSTANBUL,Güngören,GENÇOSMAN,Yeşil Camii Bahçesi,28.88383,41.03321
İSTANBUL,Güngören,GENÇOSMAN,Cemil Meriç Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.87423,41.02873
İSTANBUL,Güngören,GENÇOSMAN,Cumhuriyet İlkokulu Bahçesi,28.87975,41.02869
İSTANBUL,Güngören,GENÇOSMAN,Gaziler İmam Hatip Ortaokulu Bahçesi,28.88428,41.03346
İSTANBUL,Güngören,GENÇOSMAN,Genç Osman İmam Hatip Ortaokulu Bahçesi,28.87335,41.03324
İSTANBUL,Güngören,GENÇOSMAN,Güngören Anadolu Lisesi Bahçesi,28.87579,41.02885
İSTANBUL,Güngören,GENÇOSMAN,Halk Eğitim Merkezi Bahçesi,28.88107,41.03115
İSTANBUL,Güngören,GENÇOSMAN,İbni Sina Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.88453,41.0322
İSTANBUL,Güngören,GENÇOSMAN,İMKB Çok Programlı Anadolu Lisesi Bahçesi,28.87729,41.02791
İSTANBUL,Güngören,GENÇOSMAN,İTO Kız Anadolu İmam Hatip Lisesi Bahçesi,28.87399,41.02764
İSTANBUL,Güngören,GENÇOSMAN,Yahya Çavuş İlkokulu Bahçesi,28.87445,41.02976
İSTANBUL,Güngören,GENÇOSMAN,Çamlıca Vakfı Özel Eğitim Uygulama Okulu Bahçesi,28.87429,41.02932
İSTANBUL,Güngören,GENÇOSMAN,Güngören Belediyesi Atık Aktarma Merkezi,28.88182,41.02665
İSTANBUL,Güngören,GENÇOSMAN,YTÜ Yeni Açılan Metro Girişi Spor Tesisleri ve Yeşil Alanlar,28.8856,41.02579
İSTANBUL,Güngören,GENÇOSMAN,Şehit Naci Tuncer Parkı,28.87494,41.02641
