il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Güngören,GÜNEŞTEPE,Şehit Özcan Canik Parkı,28.86078,41.02802
İSTANBUL,Güngören,GÜNEŞTEPE,Şeyh Şamil Parkı,28.86676,41.02742
İSTANBUL,Güngören,GÜNEŞTEPE,Yavuz Selim Caddesi Parkı,28.8643,41.02496
İSTANBUL,Güngören,GÜNEŞTEPE,Şehit Piyade Er Hasan Sorma Parkı,28.86531,41.02247
İSTANBUL,Güngören,GÜNEŞTEPE,Kuba Camii Bahçesi,28.86336,41.02803
İSTANBUL,Güngören,GÜNEŞTEPE,75.Yıl Orta Okulu Bahçesi,28.86422,41.02554
İSTANBUL,Güngören,GÜNEŞTEPE,Güneşlitepe İlkokulu Bahçesi,28.86262,41.02839
İSTANBUL,Güngören,GÜNEŞTEPE,Ömer Dinçer Ortaokulu Bahçesi,28.86355,41.02487
İSTANBUL,Güngören,GÜNEŞTEPE,Şehitler İlkokulu Bahçesi,28.86569,41.02411
İSTANBUL,Güngören,GÜNEŞTEPE,Burak Sokak Otopark,28.86169,41.02548
İSTANBUL,Güngören,GÜNEŞTEPE,Pınar Otoparkı,28.86301,41.02766
