il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Güngören,MERKEZ,Gaziosmanpaşa Parkı,28.87139,41.02351
İSTANBUL,Güngören,MERKEZ,Rasimpaşa Parkı,28.87102,41.01801
İSTANBUL,Güngören,MERKEZ,Genç Osman Parkı,28.87374,41.02608
İSTANBUL,Güngören,MERKEZ,Cevher Dudayev Parkı,28.86927,41.02263
İSTANBUL,Güngören,MERKEZ,Cevizlik Parkı,28.87824,41.02613
İSTANBUL,Güngören,MERKEZ,Köyiçi Dinlenme Parkı,28.8747,41.02491
İSTANBUL,Güngören,MERKEZ,Köyiçi Atapark,28.87372,41.0252
İSTANBUL,Güngören,MERKEZ,Eski Kaymakamlık Önü Dinlenme Alanı,28.87286,41.02501
İSTANBUL,Güngören,MERKEZ,Aliya İzzet Begoviç Parkı,28.87008,41.0243
İSTANBUL,Güngören,MERKEZ,Fetih Camii Bahçesi,28.87248,41.02109
İSTANBUL,Güngören,MERKEZ,Atatürk İlkokulu Bahçesi,28.86971,41.02285
İSTANBUL,Güngören,MERKEZ,Ergenekon İlkokulu Bahçesi,28.87089,41.01983
İSTANBUL,Güngören,MERKEZ,Güngören İmam Hatip Ortaokulu Bahçesi,28.87243,41.02664
İSTANBUL,Güngören,MERKEZ,İncili Bahçe Orta Okulu Bahçesi,28.87823,41.02534
İSTANBUL,Güngören,MERKEZ,Mehmet Akif Ersoy İmam Hatip Ortaokulu Bahçesi,28.86979,41.02198
İSTANBUL,Güngören,MERKEZ,Sultan Alparslan Anadolu İmam Hatip Lisesi Bahçesi,28.87149,41.0175
İSTANBUL,Güngören,MERKEZ,Güngören Spor Kompleksi Yanı Yeşil Alan,28.87004,41.02234
İSTANBUL,Güngören,MERKEZ,Millet Bahçesi Merkez Mah.,28.87809,41.02442
İSTANBUL,Güngören,MERKEZ,Park Merkez Mah.,28.87687,41.02394
İSTANBUL,Güngören,MERKEZ,Güngören Spor Kompleksi,28.87099,41.0225
