il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Güngören,TOZKOPARAN,Barış Parkı,28.8943,41.01434
İSTANBUL,Güngören,TOZKOPARAN,75.Yıl Parkı,28.89662,41.01642
İSTANBUL,Güngören,TOZKOPARAN,Metro Parkı ve Yanındaki Spor Alanı,28.89934,41.01899
İSTANBUL,Güngören,TOZKOPARAN,Tobim,28.89688,41.01443
İSTANBUL,Güngören,TOZKOPARAN,Sun Turizme Ait Arazi,28.89685,41.01042
İSTANBUL,Güngören,TOZKOPARAN,Tozkoparan Sosyal Meskenler Camii Bahçesi,28.8931,41.01731
İSTANBUL,Güngören,TOZKOPARAN,Ali Fuat Cebesoy Kız Anadolu İmam Hatip Lisesi Bahçesi,28.89439,41.01307
İSTANBUL,Güngören,TOZKOPARAN,Alparslan Ortaokulu Bahçesi,28.89542,41.00913
İSTANBUL,Güngören,TOZKOPARAN,Dr.Lütfi Kırdar İlkokulu Bahçesi,28.89735,41.01526
İSTANBUL,Güngören,TOZKOPARAN,Erdem Beyazıt Anadolu Lisesi Bahçesi,28.89826,41.01346
İSTANBUL,Güngören,TOZKOPARAN,Ergün Öner Mehmet Öner Anadolu Lisesi Bahçesi,28.89761,41.01349
İSTANBUL,Güngören,TOZKOPARAN,Güngören Rehberlik Araştırma Merkezi Bahçesi,28.89426,41.01697
İSTANBUL,Güngören,TOZKOPARAN,Polis Amca Anaokulu Bahçesi,28.89424,41.01055
İSTANBUL,Güngören,TOZKOPARAN,Mercan Sokak Parkı,28.89479,41.01736
İSTANBUL,Güngören,TOZKOPARAN,"Merter Evleri Park, Spor Alanı",28.90203,41.01584
İSTANBUL,Güngören,TOZKOPARAN,Mevlevihane Parkı,28.90202,41.01566
