il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kadıköy ,19 MAYIS,Ormen Sitesi Parkı,29.09251,40.97524
İSTANBUL,Kadıköy ,19 MAYIS,Mustafa Nazmi Ersin Cami Bahçesi,29.08551,40.97278
İSTANBUL,Kadıköy ,19 MAYIS,Şöhret Kurşunoğlu Özel Eğitim Meslek Okulu Bahçesi,29.0844,40.97743
İSTANBUL,Kadıköy ,19 MAYIS,Işık Okulları Bahçesi,29.0864,40.97321
İSTANBUL,Kadıköy ,19 MAYIS,Kazasker Shell Karşısı Yeşi Alan,29.0843,40.97058
İSTANBUL,Kadıköy ,19 MAYIS,Akasya Parkı,29.08683,40.9789
İSTANBUL,Kadıköy ,19 MAYIS,Ekin Parkı,29.09044,40.9784
İSTANBUL,Kadıköy ,19 MAYIS,Hürriyet Parkı,29.09184,40.97663
İSTANBUL,Kadıköy ,19 MAYIS,Toktaş Sokak Parkı,29.09229,40.97389
İSTANBUL,Kadıköy ,19 MAYIS,Kriton Curi Parkı,29.09378,40.97653
İSTANBUL,Kadıköy ,19 MAYIS,Zübeyde Hanım Parkı,29.09037,40.9717
İSTANBUL,Kadıköy ,19 MAYIS,Kuşluk Parkı,29.08364,40.97648
İSTANBUL,Kadıköy ,19 MAYIS,19 Mayıs Parkı,29.08546,40.9764
