il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kadıköy ,ACIBADEM,Acıbadem Parkı,29.03628,40.99895
İSTANBUL,Kadıköy ,ACIBADEM,Şehit Cemal Tüfekçioğlu Parkı,29.03421,41.0015
İSTANBUL,Kadıköy ,ACIBADEM,Sokullu Parkı,29.03334,40.99984
İSTANBUL,Kadıköy ,ACIBADEM,Üçgen Parkı,29.04383,41.00958
İSTANBUL,Kadıköy ,ACIBADEM,Acıbadem Muhtarlık Parkı,29.03711,40.99876
İSTANBUL,Kadıköy ,ACIBADEM,Kuruçeşme Parkı,29.04008,41.00149
İSTANBUL,Kadıköy ,ACIBADEM,Ahmet Süt Camii,29.04008,41.00505
İSTANBUL,Kadıköy ,ACIBADEM,Ahmet Sani Gezici Kız İmam Hatip Lisesi Bahçesi,29.04549,41.00456
İSTANBUL,Kadıköy ,ACIBADEM,Marmara Üniversitesi Güzel Sanatlar Fakültesi Bahçesi,29.04597,41.00642
İSTANBUL,Kadıköy ,ACIBADEM,Özdemiroğlu İmam Hatip Orta Okulu Bahçesi,29.03339,40.9945
İSTANBUL,Kadıköy ,ACIBADEM,Natilius Karşısı Otopark Alanı (ROSSMAN Binası Güneyi Otopark),29.03327,41.00219
İSTANBUL,Kadıköy ,ACIBADEM,Ayrılık Çeşmesi Karşısı Yeşil Alan,29.03167,40.99712
İSTANBUL,Kadıköy ,ACIBADEM,Hukukçular Sitesi Orta Bahçe,29.04691,41.00429
İSTANBUL,Kadıköy ,ACIBADEM,Natilius AVM Bahçesi,29.0316,41.00008
