il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kadıköy ,BOSTANCI,Menekşe Parkı,29.10392,40.9606
İSTANBUL,Kadıköy ,BOSTANCI,Kuloğlu Cami Avlusu,29.09366,40.95514
İSTANBUL,Kadıköy ,BOSTANCI,Tatarağası Cami Avlusu,29.10294,40.96091
İSTANBUL,Kadıköy ,BOSTANCI,23 Nisan Zehra Hanım İmam Hatip Ortaokulu Bahçesi,29.09683,40.95557
İSTANBUL,Kadıköy ,BOSTANCI,Atatürk Ortaokulu Bahçesi,29.09849,40.95718
İSTANBUL,Kadıköy ,BOSTANCI,Hayrullah Kefoğlu Anadolu Lisesi Bahçesi,29.09624,40.95562
İSTANBUL,Kadıköy ,BOSTANCI,Leman Kaya İlkokulu Bahçesi,29.10929,40.95896
İSTANBUL,Kadıköy ,BOSTANCI,Melih İsfendiyar İlkokulu Bahçesi,29.09874,40.96301
İSTANBUL,Kadıköy ,BOSTANCI,Mualla Selcanoğlu Mesleki ve Teknik Anadolu Lisesi Bahçesi,29.09947,40.96272
İSTANBUL,Kadıköy ,BOSTANCI,Mat Otomotiv ve Yıkama San. Tic. Ltd. Şti Bahçesi,29.10023,40.95593
İSTANBUL,Kadıköy ,BOSTANCI,Eski Bostancı Pazar Yeri,29.10774,40.95825
İSTANBUL,Kadıköy ,BOSTANCI,Club Sporium,29.10942,40.95955
İSTANBUL,Kadıköy ,BOSTANCI,Kılıç Spor Tesisleri,29.10576,40.95762
İSTANBUL,Kadıköy ,BOSTANCI,Miltaş Spor Tesisleri,29.08779,40.95927
İSTANBUL,Kadıköy ,BOSTANCI,Bostancı Gösteri Merkezi Bahçesi,29.10264,40.95688
