il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kadıköy ,GÖZTEPE,Özgürlük Parkı,29.05578,40.97918
İSTANBUL,Kadıköy ,GÖZTEPE,Demokrasi Parkı,29.05696,40.97779
İSTANBUL,Kadıköy ,GÖZTEPE,Yeşilçeşme Sokak Parkı,29.05962,40.97388
İSTANBUL,Kadıköy ,GÖZTEPE,Karanfil Sokak Parkları ve Futbol Sahaları,29.07038,40.97965
İSTANBUL,Kadıköy ,GÖZTEPE,Nadirağa Parkı,29.06469,40.9807
İSTANBUL,Kadıköy ,GÖZTEPE,Ali Haydar Ersoy Orta Okulu Bahçesi,29.05834,40.9734
İSTANBUL,Kadıköy ,GÖZTEPE,Avni Akyol Güzel Sanatlar Lisesi Bahçesi,29.07161,40.9772
İSTANBUL,Kadıköy ,GÖZTEPE,İhsan Kurşunoğlu Anadolu Lisesi Bahçesi,29.06654,40.97533
İSTANBUL,Kadıköy ,GÖZTEPE,İlhami Ahmed Örnekal İlkokulu Bahçesi,29.05846,40.97278
İSTANBUL,Kadıköy ,GÖZTEPE,Mehmet Aydoslu İşitme Engelliler Orta Okulu Bahçesi,29.06777,40.97792
İSTANBUL,Kadıköy ,GÖZTEPE,Yeşilçeşme Sokak Spor Alanı,29.059,40.97407
