il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kadıköy ,KOŞUYOLU,Öğretmenler Parkı,29.03,41.00324
İSTANBUL,Kadıköy ,KOŞUYOLU,Koşuyolu Parkı,29.03935,41.00823
İSTANBUL,Kadıköy ,KOŞUYOLU,Manolya Parkı,29.03499,41.00605
İSTANBUL,Kadıköy ,KOŞUYOLU,Mimoza Parkı,29.03717,41.01201
İSTANBUL,Kadıköy ,KOŞUYOLU,Şeker Parkı,29.0333,41.00837
İSTANBUL,Kadıköy ,KOŞUYOLU,Yaşam Parkı,29.03524,41.00768
İSTANBUL,Kadıköy ,KOŞUYOLU,Cenap Şehabettin İlkokulu Bahçesi,29.03606,41.0099
İSTANBUL,Kadıköy ,KOŞUYOLU,Halil Türkkan Ortaokulu Bahçesi,29.02893,41.00293
İSTANBUL,Kadıköy ,KOŞUYOLU,Reşat Nuri Güntekin Ortaokulu Bahçesi,29.03798,41.0091
İSTANBUL,Kadıköy ,KOŞUYOLU,Samyeli Futbol Sahası,29.02926,41.00359
İSTANBUL,Kadıköy ,KOŞUYOLU,Eski Koşuyolu Kalp Hastanesi Bahçesi,29.03568,41.00696
