il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kadıköy ,MERDİVENKÖY,Çınar Parkı,29.05997,40.98493
İSTANBUL,Kadıköy ,MERDİVENKÖY,Leylak Parkı,29.06356,40.98423
İSTANBUL,Kadıköy ,MERDİVENKÖY,Eylül Parkı,29.07688,40.98909
İSTANBUL,Kadıköy ,MERDİVENKÖY,Özlem Sokak Parkı,29.07437,40.98506
İSTANBUL,Kadıköy ,MERDİVENKÖY,Dumlupınar Parkı,29.06155,40.98874
İSTANBUL,Kadıköy ,MERDİVENKÖY,Onay Sitesi Parkı,29.06642,40.98846
İSTANBUL,Kadıköy ,MERDİVENKÖY,Çamlık Parkı,29.06797,40.98971
İSTANBUL,Kadıköy ,MERDİVENKÖY,Şahkulu Dergahı Bahçesi,29.07495,40.98837
İSTANBUL,Kadıköy ,MERDİVENKÖY,Halil Türkan Ortaokulu Bahçesi,29.06721,40.99348
İSTANBUL,Kadıköy ,MERDİVENKÖY,Mustafa Saffet Anadolu Lisesi Bahçesi,29.06891,40.98898
İSTANBUL,Kadıköy ,MERDİVENKÖY,Eski (Papyon) Kurban Pazar Alanı,29.07111,40.98918
İSTANBUL,Kadıköy ,MERDİVENKÖY,Salı Pazarı,29.06739,40.99408
