il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kadıköy ,SAHRAYICEDİT,23 Nisan Parkı,29.08339,40.98463
İSTANBUL,Kadıköy ,SAHRAYICEDİT,Defne Parkı,29.08266,40.97839
İSTANBUL,Kadıköy ,SAHRAYICEDİT,Dostluk Parkı,29.08558,40.98066
İSTANBUL,Kadıköy ,SAHRAYICEDİT,Milli Hakimiyet Parkı,29.08004,40.97922
İSTANBUL,Kadıköy ,SAHRAYICEDİT,Doğa Parkı,29.08462,40.98504
İSTANBUL,Kadıköy ,SAHRAYICEDİT,Halk Sokak Parkı,29.08845,40.98365
İSTANBUL,Kadıköy ,SAHRAYICEDİT,Merdivenköy Parkı,29.07856,40.98849
İSTANBUL,Kadıköy ,SAHRAYICEDİT,Erguvan Parkı,29.08766,40.98522
İSTANBUL,Kadıköy ,SAHRAYICEDİT,Hilton Otel Yanı Parkı,29.08508,40.98709
İSTANBUL,Kadıköy ,SAHRAYICEDİT,Merdivenköy Koru Parkı,29.07898,40.98741
İSTANBUL,Kadıköy ,SAHRAYICEDİT,Arapgirli Parkı,29.08708,40.98416
İSTANBUL,Kadıköy ,SAHRAYICEDİT,Mengi Parkı,29.0869,40.98254
