il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kartal,ATALAR,Atalar Temel Eğitim Tesisi Alanı,29.17028,40.90033
İSTANBUL,Kartal,ATALAR,Cevizli Anadolu İmam Hatip Lisesi Bahçesi,29.17205,40.90997
İSTANBUL,Kartal,ATALAR,Çanakkale Şehitler Parkı,29.17443,40.9032
İSTANBUL,Kartal,ATALAR,Ergenekon İbrahim Şakir İlkokulu Bahçesi,29.16605,40.90335
İSTANBUL,Kartal,ATALAR,Hamit Yıldırım Parkı,29.17749,40.90405
İSTANBUL,Kartal,ATALAR,İstek Uluğbey Okulları Bahçesi,29.17788,40.90262
İSTANBUL,Kartal,ATALAR,Kardelen Parkı,29.17202,40.89853
İSTANBUL,Kartal,ATALAR,Kartal Belediyesi Yeni Halı Saha,29.16952,40.90663
İSTANBUL,Kartal,ATALAR,Kartal Mesleki ve Teknik Anadolu Lisesi Bahçesi,29.17658,40.90515
İSTANBUL,Kartal,ATALAR,Sevgi Parkı,29.17291,40.90057
İSTANBUL,Kartal,ATALAR,Şehit Göksal Mustafa Ağaç Yetiştiren Parkı,29.17452,40.90734
İSTANBUL,Kartal,ATALAR,Şehit Timur Aktemur Ortaokulu Bahçesi,29.17014,40.90826
İSTANBUL,Kartal,ATALAR,Zeytinlik Parkı,29.1794,40.90406
İSTANBUL,Kartal,ATALAR,Zümrüt Sokak Yanı Parkı,29.17781,40.90625
