il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kartal,CEVİZLİ,Ali Ekber Karagöz Parkı,29.17801,40.90855
İSTANBUL,Kartal,CEVİZLİ,Anafartalar Parkı,29.17549,40.91059
İSTANBUL,Kartal,CEVİZLİ,Burak Bora Parkı,29.16442,40.91332
İSTANBUL,Kartal,CEVİZLİ,Cevizli Ortaokulu Bahçesi,29.16775,40.91232
İSTANBUL,Kartal,CEVİZLİ,Çifteler Parkı,29.1814,40.91004
İSTANBUL,Kartal,CEVİZLİ,Gürbüz Bora İlköğretim Okulu Bahçesi,29.16758,40.91303
İSTANBUL,Kartal,CEVİZLİ,Kardelen Parkı,29.16469,40.91647
İSTANBUL,Kartal,CEVİZLİ,Kartal Anadolu Lisesi Bahçesi ve Spor Alanları,29.16865,40.91401
İSTANBUL,Kartal,CEVİZLİ,Kavaklı Cami Bahçesi,29.17232,40.9129
İSTANBUL,Kartal,CEVİZLİ,Kemal Bayraktar Parkı,29.16276,40.91324
İSTANBUL,Kartal,CEVİZLİ,Kemal Hacı Yüzbaşıoğlu Parkı,29.16053,40.91455
İSTANBUL,Kartal,CEVİZLİ,Kırıkkale Sokak yanı parkı,29.16009,40.91384
İSTANBUL,Kartal,CEVİZLİ,Mahmut Kemal İnal İmam Hatip Ortaokulu Bahçesi,29.16443,40.91499
İSTANBUL,Kartal,CEVİZLİ,Mustafa Denizer Cami Bahçesi,29.16808,40.91643
İSTANBUL,Kartal,CEVİZLİ,Mustafa Kemal Caddesi Yanı Parkı,29.17748,40.91272
İSTANBUL,Kartal,CEVİZLİ,Nene Hatun Parkı,29.16572,40.91553
İSTANBUL,Kartal,CEVİZLİ,Prof.Dr.Ayhan Songar Parkı,29.16974,40.91403
İSTANBUL,Kartal,CEVİZLİ,Şehit Er Yıldıray Biroğlu İlkokulu Bahçesi,29.17964,40.91178
İSTANBUL,Kartal,CEVİZLİ,Zabıta Müdürlüğü Boş Alanları,29.18537,40.91211
İSTANBUL,Kartal,CEVİZLİ,Eski Kurban Alanı,29.16672,40.9177
