il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kartal,CUMHURİYET,Açık ve Kapalı Spor Tesisi (Halı Saha Alanı),29.21908,40.90716
İSTANBUL,Kartal,CUMHURİYET,Fatih Sultan Mehmet Parkı,29.22189,40.91208
İSTANBUL,Kartal,CUMHURİYET,Hacı İsmail Gündoğdu Çok Programlı Anadolu Lisesi Bahçesi,29.21911,40.90809
İSTANBUL,Kartal,CUMHURİYET,Hikmet Sürücü Parkı,29.22394,40.90449
İSTANBUL,Kartal,CUMHURİYET,Selçuk Eraydın Anadolu İmam Hatip Lisesi Bahçesi,29.22252,40.90209
İSTANBUL,Kartal,CUMHURİYET,Seval Sokak Yanı Park,29.22532,40.90136
İSTANBUL,Kartal,CUMHURİYET,Şehit Şükrü Bayrakcı İlkokulu Bahçesi,29.21933,40.90622
İSTANBUL,Kartal,CUMHURİYET,Şeyh Edebali Cami Bahçesi,29.21838,40.90777
İSTANBUL,Kartal,CUMHURİYET,Tercan Sokak Yanı Parkı,29.22239,40.90487
İSTANBUL,Kartal,CUMHURİYET,Yakacık İTO Spor Salonu,29.22022,40.90689
İSTANBUL,Kartal,CUMHURİYET,Yaşar Ekici Parkı,29.22511,40.90253
İSTANBUL,Kartal,CUMHURİYET,Yüzyıl Cad. Yanı Parkı,29.22069,40.90759
