il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kartal,ESENTEPE,Buz&Kaykay Pisti,29.18051,40.90707
İSTANBUL,Kartal,ESENTEPE,Kartal İmkb Kız Teknik ve Meslek Lisesi Bahçesi,29.18165,40.90547
İSTANBUL,Kartal,ESENTEPE,50.Yıl General Refet Bele Ortaokulu Bahçesi,29.18253,40.90232
İSTANBUL,Kartal,ESENTEPE,75. Yıl Parkı,29.18794,40.90225
İSTANBUL,Kartal,ESENTEPE,75.Yıl Parkı Karşısı Açık Halı Saha,29.18884,40.90207
İSTANBUL,Kartal,ESENTEPE,Anadolu Caddesi Yanı Parkı,29.19086,40.91201
İSTANBUL,Kartal,ESENTEPE,Arif Kaptan Parkı,29.19341,40.90361
İSTANBUL,Kartal,ESENTEPE,Bedri Rahmi Eyüboğlu İlkokulu Bahçesi,29.18792,40.90599
İSTANBUL,Kartal,ESENTEPE,Çamlık Parkı,29.1866,40.90337
İSTANBUL,Kartal,ESENTEPE,Emine ve Hasan Aytaçman İlkokulu Bahçesi,29.19004,40.9033
İSTANBUL,Kartal,ESENTEPE,Esentepe Hicret Cami Bahçesi,29.19558,40.90413
İSTANBUL,Kartal,ESENTEPE,Esentepe Kültür Fazilet Cami Bahçesi,29.18323,40.9096
İSTANBUL,Kartal,ESENTEPE,Gelincik Parkı,29.19758,40.90132
İSTANBUL,Kartal,ESENTEPE,Gelincik Parkı Karşısı Halı Saha,29.1964,40.90073
İSTANBUL,Kartal,ESENTEPE,Gökçe Sokak Yanı Parkı,29.18923,40.90328
İSTANBUL,Kartal,ESENTEPE,Hasan Tahsin Uğur Cami Bahçesi,29.18203,40.90394
İSTANBUL,Kartal,ESENTEPE,İstanbul Köy Hizmetleri Anadolu Lisesi Bahçesi,29.18879,40.91144
İSTANBUL,Kartal,ESENTEPE,Kartal Mehmet Akif Ersoy Anadolu İmam Hatip Lisesi Bahçesi,29.18723,40.91094
İSTANBUL,Kartal,ESENTEPE,Köy Hizmetleri Cami Bahçesi,29.18999,40.9122
İSTANBUL,Kartal,ESENTEPE,Mehmet Ali Büklü Parkı,29.1796,40.9059
İSTANBUL,Kartal,ESENTEPE,Mehmet Sekmen Parkı,29.19148,40.90641
İSTANBUL,Kartal,ESENTEPE,Mercan Parkı,29.18471,40.90545
İSTANBUL,Kartal,ESENTEPE,Papatya Parkı,29.1916,40.90292
İSTANBUL,Kartal,ESENTEPE,Şehit Er Serhat Şanlı Ortaokulu Bahçesi,29.19466,40.90358
İSTANBUL,Kartal,ESENTEPE,Şehit Ersin Özler Parkı,29.18781,40.90468
