il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kartal,GÜMÜŞPINAR,Ahmet Yesevi Parkı,29.20993,40.91812
İSTANBUL,Kartal,GÜMÜŞPINAR,Çitlenbik Parkı,29.20469,40.91641
İSTANBUL,Kartal,GÜMÜŞPINAR,Gümüşpınar Parkı,29.20362,40.92044
İSTANBUL,Kartal,GÜMÜŞPINAR,Kartal Soğanlık İlkokulu Bahçesi,29.2043,40.92121
İSTANBUL,Kartal,GÜMÜŞPINAR,Lale Parkı,29.2161,40.92306
İSTANBUL,Kartal,GÜMÜŞPINAR,Limon Sokak Parkı,29.21065,40.92071
İSTANBUL,Kartal,GÜMÜŞPINAR,Meral Akşehirlioğlu Cami Bahçesi,29.20744,40.92328
İSTANBUL,Kartal,GÜMÜŞPINAR,Meral Akşehirlioğlu Cami Yanı,29.20662,40.92309
İSTANBUL,Kartal,GÜMÜŞPINAR,Nursen Özdayi Safa Cami Bahçesi,29.20918,40.91802
İSTANBUL,Kartal,GÜMÜŞPINAR,Şehit Caner Çalışkan Parkı,29.2143,40.92159
İSTANBUL,Kartal,GÜMÜŞPINAR,Tank Yolu Cad. Balıkesi Cad. Kesişimi (Boş Arazi),29.20459,40.92323
İSTANBUL,Kartal,GÜMÜŞPINAR,Ülkü Bora Ortaokulu Bahçesi,29.20018,40.91658
