il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kartal,HÜRRİYET,Dolayoba Çınardere Yayla Cami Bahçesi,29.244,40.89935
İSTANBUL,Kartal,HÜRRİYET,Ethem Sıral Kaptan Parkı,29.23795,40.90153
İSTANBUL,Kartal,HÜRRİYET,Gazenfer Bilge Sokak Yanı Parkı,29.23172,40.89977
İSTANBUL,Kartal,HÜRRİYET,Hürriyet Kız Anadolu İmam Hatip Lisesi Bahçesi,29.23318,40.90053
İSTANBUL,Kartal,HÜRRİYET,Kartal Huzur Evi Yanı Doktorlar Sitesi Önü,29.24266,40.90675
İSTANBUL,Kartal,HÜRRİYET,Kurfallı Çınar Cami Bahçesi,29.2258,40.909
İSTANBUL,Kartal,HÜRRİYET,Kurfallı Fatih Cami Bahçesi,29.23936,40.90439
İSTANBUL,Kartal,HÜRRİYET,Orkide Parkı,29.22633,40.91088
İSTANBUL,Kartal,HÜRRİYET,Özkan Parkı,29.23871,40.90401
İSTANBUL,Kartal,HÜRRİYET,Şehit Ayhan Abbas Çatalçam Parkı,29.23039,40.90707
İSTANBUL,Kartal,HÜRRİYET,Şeyh Şamil İlköğretim Okulu Bahçesi,29.2269,40.90921
İSTANBUL,Kartal,HÜRRİYET,Tacettin Özgüder Parkı,29.2454,40.90098
İSTANBUL,Kartal,HÜRRİYET,Ulus Parkı,29.23059,40.89862
İSTANBUL,Kartal,HÜRRİYET,Ziyabey Parkı,29.2287,40.90174
İSTANBUL,Kartal,HÜRRİYET,Bahtiyar Konuksan Parkı,29.24371,40.90476
İSTANBUL,Kartal,HÜRRİYET,Cumhuriyet İlkokulu Bahçesi,29.22713,40.90134
