il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kartal,KARLIKTEPE,Karlıktepe Mahallesi Fıstık Ağacı Yanı Sk. Boş Arazi,29.19703,40.89973
İSTANBUL,Kartal,KARLIKTEPE,Nergis Parkı,29.18696,40.89157
İSTANBUL,Kartal,KARLIKTEPE,100.Yıl Ali Rıza Ortaokulu Bahçesi,29.19663,40.898
İSTANBUL,Kartal,KARLIKTEPE,Ayyıldız Parkı,29.18987,40.89833
İSTANBUL,Kartal,KARLIKTEPE,Bulgaristan Varna Parkı-İBB,29.19366,40.89507
İSTANBUL,Kartal,KARLIKTEPE,Bulvar Parkı ve Açık Halı Saha,29.18715,40.90019
İSTANBUL,Kartal,KARLIKTEPE,Çamlık Sokak Yanı Belediye Park ve Arazisi,29.19886,40.89784
İSTANBUL,Kartal,KARLIKTEPE,Eski Kartal Stadı,29.19084,40.8919
İSTANBUL,Kartal,KARLIKTEPE,Güneş Parkı,29.19043,40.89721
İSTANBUL,Kartal,KARLIKTEPE,Mehmet Hilmi Altay İlkokulu Bahçesi,29.19268,40.89475
İSTANBUL,Kartal,KARLIKTEPE,Şehit Aşkın Bora Parkı,29.18788,40.89237
İSTANBUL,Kartal,KARLIKTEPE,Şehit Dursun Kaya Parkı,29.19161,40.89887
İSTANBUL,Kartal,KARLIKTEPE,Şehit Rıdvan Çelik Parkı,29.19709,40.89684
İSTANBUL,Kartal,KARLIKTEPE,Tahir Öztırak Parkı,29.18854,40.89887
İSTANBUL,Kartal,KARLIKTEPE,Yüksel - İlhan Alanyalı Anadolu Öğretmen Lisesi Bahçesi,29.18902,40.89776
