il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kartal,ORHANTEPE,Bahçeşehir Koleji Bahçesi,29.1475,40.91235
İSTANBUL,Kartal,ORHANTEPE,Çakabey İmam Hatip Ortaokulu Bahçesi,29.16484,40.90759
İSTANBUL,Kartal,ORHANTEPE,Dragos Parkı,29.15054,40.90906
İSTANBUL,Kartal,ORHANTEPE,Fethiye Caddesi Yanı,29.14379,40.9133
İSTANBUL,Kartal,ORHANTEPE,İstanbul Şehir Üniversitesi,29.15399,40.90595
İSTANBUL,Kartal,ORHANTEPE,Komşuluk ve Dayanışma Meydanı,29.17033,40.91012
İSTANBUL,Kartal,ORHANTEPE,Meteoroloji Bahçe ve Otoparkı,29.15743,40.91162
İSTANBUL,Kartal,ORHANTEPE,Necip Fazıl Kısakürek Parkı,29.16003,40.91182
İSTANBUL,Kartal,ORHANTEPE,Nihat Erim İlkokulu Ek Bina Bahçesi,29.15302,40.91037
İSTANBUL,Kartal,ORHANTEPE,ŞehiT Abdullah Horuz Parkı,29.15433,40.90955
